Unnamed: 0	best_epoch	best_validation_accuracy	best_validation_accuracy3	best_validation_loss	dataset_reader.granularity	dataset_reader.sample	dataset_reader.token_indexers.elmo.type	dataset_reader.token_indexers.tokens.type	dataset_reader.type	dataset_reader.use_subtrees	embedding	epoch	evaluate_on_test	iterator.batch_size	iterator.sorting_keys	iterator.type	model.elmo.do_layer_norm	model.elmo.dropout	model.elmo.num_output_representations	model.elmo.options_file	model.elmo.requires_grad	model.elmo.weight_file	model.embedding_dropout	model.encoder.bidirectional	model.encoder.hidden_size	model.encoder.input_size	model.encoder.num_layers	model.encoder.type	model.integrator.bidirectional	model.integrator.hidden_size	model.integrator.input_size	model.integrator.num_layers	model.integrator.type	model.integrator_dropout	model.output_layer.dropout	model.output_layer.input_dim	model.output_layer.num_layers	model.output_layer.output_dims	model.output_layer.pool_sizes	model.pre_encode_feedforward.activations	model.pre_encode_feedforward.dropout	model.pre_encode_feedforward.hidden_dims	model.pre_encode_feedforward.input_dim	model.pre_encode_feedforward.num_layers	model.text_field_embedder.token_embedders.tokens.embedding_dim	model.text_field_embedder.token_embedders.tokens.pretrained_file	model.text_field_embedder.token_embedders.tokens.trainable	model.text_field_embedder.token_embedders.tokens.type	model.type	model.use_input_elmo	model.use_integrator_output_elmo	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	test_accuracy	test_accuracy3	test_data_path	test_loss	train_data_path	trainer.cuda_device	trainer.grad_norm	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_accuracy3	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_accuracy3	validation_data_path	validation_dataset_reader.granularity	validation_dataset_reader.token_indexers.elmo.type	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.type	validation_dataset_reader.use_subtrees	validation_loss
0	0	0.9197247706422018	1.0	0.2251830297437581	2-class	6919	elmo_characters	single_id	sst_tokens	True	elmo fine-tuned	9	True	16	[['tokens', 'num_tokens']]	bucket	False	0.2	2.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.1	True	248	190	3	lstm	True	104	1488	3	lstm	0.0	[0.1, 0.1, 0]	4928	3	[449, 449, 2]	5	tanh	0.3	[190, 190, 190]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	True	True	4456.7440000000015	4155	4491	4365	4887	5035.0	4909.0	4959.0	4575.0	0.9121361889071938	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.21387157053278197	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	5	0.5	2	reduce_on_plateau	50	1	3.96783638899274e-05	adam	10	+accuracy	0.9969431341984332	1.0	4456.7440000000015	14037.0	9	0	0	4365	4887	0.0	0.0	0.0	4575.0	0.011214641110918782	0	0.8555045871559633	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	0.8627258516170762
1	29	0.7637614678899083	1.0	0.5125576019287109	2-class	6919	elmo_characters	single_id	sst_tokens	True	elmo fine-tuned	38	True	16	[['tokens', 'num_tokens']]	bucket	False	0.1	2.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.2	True	150	273	1	lstm	True	396	900	3	lstm	0.4	[0.3, 0]	7264	2	[376, 2]	4	relu	0.0	[273, 273, 273]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	True	True	4482.02	4881	4903	4157	4885	4763.0	4909.0	4957.0	4729.0	0.7451949478308622	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.5155429149928846	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	5	0.5	2	reduce_on_plateau	50	1	0.01147870554695809	adam	10	+accuracy	0.8509524869931372	1.0	4482.02	55136.0	38	4155	4885	4157	4885	4763.0	4909.0	4957.0	3715.0	0.3479179426629533	0	0.7568807339449541	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	0.5117506807500666
2	39	0.7775229357798165	1.0	0.5081265097314661	2-class	6919	elmo_characters	single_id	sst_tokens	True	elmo fine-tuned	48	True	16	[['tokens', 'num_tokens']]	bucket	False	0.3	2.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.1	True	363	238	2	lstm	True	194	2178	2	lstm	0.1	[0, 0, 0]	5648	3	[449, 449, 2]	5	relu	0.4	[238, 238, 238]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	True	True	4497.632000000001	4881	4903	4365	4887	5035.0	4909.0	4959.0	4729.0	0.7770455793520044	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.5261110786283225	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	6	0.5	2	reduce_on_plateau	50	1	0.003759663836222381	adam	10	+accuracy	0.8904386906087414	1.0	4497.632000000001	68414.0	48	0	4491	4365	4887	0.0	0.0	4959.0	4569.0	0.2888586551626684	0	0.7740825688073395	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	0.5103929644281214
3	4	0.8944954128440367	1.0	0.39373723282055423	2-class	6919	elmo_characters	single_id	sst_tokens	True	elmo fine-tuned	13	True	16	[['tokens', 'num_tokens']]	bucket	False	0.1	1.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.0	True	478	489	2	lstm	True	341	2868	1	lstm	0.3	[0.3, 0]	2728	2	[138, 2]	6	tanh	0.3	[489, 489, 489]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	True	False	4482.94	4655	4827	4163	4711	5007.0	4179.0	4441.0	4261.0	0.8923668314113125	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.3570216777489373	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	8	0.5	2	reduce_on_plateau	50	1	2.6291397387690368e-06	adam	10	+accuracy	0.9956677531024152	1.0	4482.94	18744.0	13	4655	4827	4163	4265	4233.0	4179.0	4441.0	4253.0	0.017486574488007632	0	0.893348623853211	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	0.6436455367641015
4	1	0.9105504587155964	1.0	0.3008935588327321	2-class	6919	elmo_characters	single_id	sst_tokens	True	elmo fine-tuned	10	True	16	[['tokens', 'num_tokens']]	bucket	False	0.1	2.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.1	True	99	414	3	lstm	True	462	594	3	lstm	0.3	[0, 0, 0, 0]	7792	4	[337, 337, 337, 2]	4	tanh	0.1	[414, 414, 414]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	True	True	4486.036	4155	4885	4157	4885	4763.0	4909.0	4957.0	3715.0	0.9060955518945636	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.26817175628323303	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	9	0.5	2	reduce_on_plateau	50	1	9.33274751437146e-06	adam	10	+accuracy	0.999868413061522	1.0	4486.036	15968.000000000002	10	4155	4885	4157	4885	4763.0	4909.0	4957.0	3715.0	0.0005294432234667576	0	0.9002293577981652	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	1.0897438740188423
5	1	0.5137614678899083	1.0	422348.3068181818	2-class	6919	elmo_characters	single_id	sst_tokens	True	elmo fine-tuned	10	True	16	[['tokens', 'num_tokens']]	bucket	False	0.0	2.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.4	True	305	259	2	lstm	True	390	1830	1	lstm	0.2	[0.2, 0.2, 0]	7216	3	[299, 299, 2]	4	relu	0.1	[259, 259, 259]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	True	True	4464.48	4587	4901	4347	4647	4763.0	4657.0	4799.0	4725.0	0.499176276771005	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	3750956.0657894737	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	9	0.5	2	reduce_on_plateau	50	1	0.09360506510024352	adam	10	+accuracy	0.510648419944531	1.0	4464.396	15360.000000000002	10	4587	4901	4151	4647	4523.0	4657.0	4239.0	4725.0	14609.631561788336	0	0.4908256880733945	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	10097.503781960228
6	16	0.8050458715596329	1.0	0.5844051464037462	2-class	6919	elmo_characters	single_id	sst_tokens	True	elmo fine-tuned	25	True	16	[['tokens', 'num_tokens']]	bucket	False	0.0	2.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.3	True	330	321	2	lstm	True	256	1980	2	lstm	0.0	[0, 0]	6144	2	[130, 2]	6	tanh	0.4	[321, 321, 321]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	True	True	4461.272	4785	5067	4691	4711	5007.0	4803.0	4443.0	4267.0	0.8061504667764964	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.5829810442631704	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	9	0.5	2	reduce_on_plateau	50	1	0.0062416045915708795	adam	10	+accuracy	0.9507561187926392	1.0	4461.272	36161.0	25	4785	4399	4433	4643	5007.0	4295.0	4443.0	4267.0	0.14741233189578964	0	0.7970183486238532	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	0.5283522882244803
7	3	0.5091743119266054	1.0	566.0007990056819	2-class	6919	elmo_characters	single_id	sst_tokens	True	elmo fine-tuned	12	True	16	[['tokens', 'num_tokens']]	bucket	False	0.4	1.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.1	True	270	199	2	lstm	True	382	1620	2	lstm	0.2	[0, 0, 0]	3056	3	[80, 80, 2]	4	tanh	0.3	[199, 199, 199]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	True	False	4476.556	4655	4827	4163	4711	4233.0	4179.0	4441.0	4253.0	0.499176276771005	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	604.2314589651007	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	9	0.5	2	reduce_on_plateau	50	1	0.035164991476202084	adam	10	+accuracy	0.5073587464825801	1.0	4476.556	17634.0	12	4655	4827	4163	4711	4233.0	4179.0	4441.0	3967.0	1.8421215986481565	0	0.5034403669724771	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	0.7108042456886985
8	1	0.9071100917431192	1.0	0.2466553403572603	2-class	6919	elmo_characters	single_id	sst_tokens	True	elmo fine-tuned	10	True	16	[['tokens', 'num_tokens']]	bucket	False	0.1	1.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.0	True	288	114	2	lstm	True	509	1728	3	lstm	0.1	[0.4, 0.4, 0]	4072	3	[405, 405, 2]	4	relu	0.0	[114, 114, 114]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	True	False	4569.524	4829	4901	4347	4647	4763.0	4663.0	4239.0	4725.0	0.8951125755079626	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.24823536926455664	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	8	0.5	2	reduce_on_plateau	50	1	3.789728293272845e-05	adam	10	+accuracy	0.9986841306152195	1.0	4569.524	15411.000000000002	10	4829	4901	4157	4647	4763.0	4663.0	4239.0	4725.0	0.004916630146444325	0	0.8922018348623854	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	0.6077876491302794
9	0	0.9151376146788992	1.0	0.22005359259518711	2-class	6919	elmo_characters	single_id	sst_tokens	True	elmo fine-tuned	9	True	16	[['tokens', 'num_tokens']]	bucket	False	0.4	2.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.1	True	304	439	1	lstm	True	410	1824	1	lstm	0.1	[0.4, 0]	7376	2	[231, 2]	6	relu	0.0	[439, 439, 439]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	True	True	4489.428	4781	5067	4163	4387	5007.0	4375.0	4443.0	4267.0	0.9137836353651841	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.2072928910584826	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	7	0.5	2	reduce_on_plateau	50	1	5.6470830227928736e-05	adam	10	+accuracy	0.9987144968317914	1.0	4489.428	13454.0	9	4781	4145	4163	4271	5007.0	4375.0	4443.0	4267.0	0.004871218524722318	0	0.8922018348623854	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	0.6049440373073924
