trainer.optimizer.lr,training_duration,dataset_reader.sample,model.encoder.architecture.type,best_validation_accuracy
1,1,10000,BERT Large,0.332
1,1,10000,BERT Large,0.447
1,1,10000,BERT Large,0.000
1,1,10000,BERT Large,0.510
1,1,10000,BERT Large,0.521
1,1,10000,BERT Large,0.478
1,1,10000,BERT Large,0.478
1,1,10000,BERT Large,0.481
1,1,10000,BERT Large,0.473
1,1,10000,BERT Large,0.000
1,1,10000,BERT Large,0.000
1,1,10000,BERT Large,0.427
1,1,10000,BERT Large,0.479
1,1,10000,BERT Large,0.396
1,1,10000,BERT Large,0.489
1,1,10000,BERT Large,0.540
1,1,10000,BERT Large,0.426
1,1,10000,BERT Large,0.476
1,1,10000,BERT Large,0.465
1,1,10000,BERT Large,0.410
1,1,10000,BERT Large MNLI,0.406
1,1,10000,BERT Large MNLI,0.411
1,1,10000,BERT Large MNLI,0.000
1,1,10000,BERT Large MNLI,0.394
1,1,10000,BERT Large MNLI,0.421
1,1,10000,BERT Large MNLI,0.416
1,1,10000,BERT Large MNLI,0.421
1,1,10000,BERT Large MNLI,0.364
1,1,10000,BERT Large MNLI,0.072
1,1,10000,BERT Large MNLI,0.386
1,1,10000,BERT Large MNLI,0.418
1,1,10000,BERT Large MNLI,0.413
1,1,10000,BERT Large MNLI,0.437
1,1,10000,BERT Large MNLI,0.133
1,1,10000,BERT Large MNLI,0.363
1,1,10000,BERT Large MNLI,0.000
1,1,10000,BERT Large MNLI,0.322
1,1,10000,BERT Large MNLI,0.425
1,1,10000,BERT Large MNLI,0.440
1,1,10000,BERT Large MNLI,0.000
