trainer.optimizer.lr,training_duration,dataset_reader.sample,model.encoder.architecture.type,best_validation_accuracy
1,1,10000,BERT Large,56.247
1,1,10000,BERT Large,0.000
1,1,10000,BERT Large,59.136
1,1,10000,BERT Large,54.180
1,1,10000,BERT Large,56.787
1,1,10000,BERT Large,0.000
1,1,10000,BERT Large,54.462
1,1,10000,BERT Large,62.069
1,1,10000,BERT Large,57.800
1,1,10000,BERT Large,59.581
1,1,10000,BERT Large,61.080
1,1,10000,BERT Large,48.724
1,1,10000,BERT Large,59.068
1,1,10000,BERT Large,0.000
1,1,10000,BERT Large,56.251
1,1,10000,BERT Large,0.000
1,1,10000,BERT Large,60.314
1,1,10000,BERT Large,0.000
1,1,10000,BERT Large,60.641
1,1,10000,BERT Large,59.074
1,1,10000,BERT Large MNLI,56.262
1,1,10000,BERT Large MNLI,0.000
1,1,10000,BERT Large MNLI,53.692
1,1,10000,BERT Large MNLI,57.688
1,1,10000,BERT Large MNLI,59.825
1,1,10000,BERT Large MNLI,55.513
1,1,10000,BERT Large MNLI,55.206
1,1,10000,BERT Large MNLI,59.305
1,1,10000,BERT Large MNLI,58.835
1,1,10000,BERT Large MNLI,59.566
1,1,10000,BERT Large MNLI,54.954
1,1,10000,BERT Large MNLI,55.206
1,1,10000,BERT Large MNLI,0.000
1,1,10000,BERT Large MNLI,53.650
1,1,10000,BERT Large MNLI,59.410
1,1,10000,BERT Large MNLI,54.735
1,1,10000,BERT Large MNLI,56.414
1,1,10000,BERT Large MNLI,35.128
1,1,10000,BERT Large MNLI,56.254
1,1,10000,BERT Large MNLI,57.274
