trainer.optimizer.lr,training_duration,dataset_reader.sample,model.encoder.architecture.type,best_validation_accuracy
1,1,10000,BERT Large,52.708
1,1,10000,BERT Large,61.372
1,1,10000,BERT Large,52.708
1,1,10000,BERT Large,52.708
1,1,10000,BERT Large,66.787
1,1,10000,BERT Large,52.708
1,1,10000,BERT Large,65.704
1,1,10000,BERT Large,47.292
1,1,10000,BERT Large,52.708
1,1,10000,BERT Large,47.292
1,1,10000,BERT Large,52.708
1,1,10000,BERT Large,70.036
1,1,10000,BERT Large,52.708
1,1,10000,BERT Large,52.708
1,1,10000,BERT Large,52.708
1,1,10000,BERT Large,70.036
1,1,10000,BERT Large,68.953
1,1,10000,BERT Large,52.708
1,1,10000,BERT Large,63.538
1,1,10000,BERT Large,54.874
1,1,10000,BERT Large MNLI,80.866
1,1,10000,BERT Large MNLI,82.671
1,1,10000,BERT Large MNLI,82.310
1,1,10000,BERT Large MNLI,81.949
1,1,10000,BERT Large MNLI,80.866
1,1,10000,BERT Large MNLI,80.505
1,1,10000,BERT Large MNLI,81.227
1,1,10000,BERT Large MNLI,79.061
1,1,10000,BERT Large MNLI,52.708
1,1,10000,BERT Large MNLI,83.394
1,1,10000,BERT Large MNLI,78.700
1,1,10000,BERT Large MNLI,77.978
1,1,10000,BERT Large MNLI,80.144
1,1,10000,BERT Large MNLI,78.339
1,1,10000,BERT Large MNLI,79.422
1,1,10000,BERT Large MNLI,82.310
1,1,10000,BERT Large MNLI,81.949
1,1,10000,BERT Large MNLI,77.978
1,1,10000,BERT Large MNLI,80.505
1,1,10000,BERT Large MNLI,80.505
