dataset_reader.sample	trainer.optimizer.lr	model.encoder.architecture.type	best_validation_accuracy	training_duration
10000	10000	BERT Large MNLI	0.406	10000
10000	10000	BERT Large MNLI	0.411	10000
10000	10000	BERT Large MNLI	0.000	10000
10000	10000	BERT Large MNLI	0.394	10000
10000	10000	BERT Large MNLI	0.421	10000
10000	10000	BERT Large MNLI	0.416	10000
10000	10000	BERT Large MNLI	0.421	10000
10000	10000	BERT Large MNLI	0.364	10000
10000	10000	BERT Large MNLI	0.072	10000
10000	10000	BERT Large MNLI	0.386	10000
10000	10000	BERT Large MNLI	0.418	10000
10000	10000	BERT Large MNLI	0.413	10000
10000	10000	BERT Large MNLI	0.437	10000
10000	10000	BERT Large MNLI	0.133	10000
10000	10000	BERT Large MNLI	0.363	10000
10000	10000	BERT Large MNLI	0.000	10000
10000	10000	BERT Large MNLI	0.322	10000
10000	10000	BERT Large MNLI	0.425	10000
10000	10000	BERT Large MNLI	0.440	10000
10000	10000	BERT Large MNLI	0.000	10000
10000	10000	BERT Large	0.332	10000
10000	10000	BERT Large	0.447	10000
10000	10000	BERT Large	0.000	10000
10000	10000	BERT Large	0.510	10000
10000	10000	BERT Large	0.521	10000
10000	10000	BERT Large	0.478	10000
10000	10000	BERT Large	0.478	10000
10000	10000	BERT Large	0.481	10000
10000	10000	BERT Large	0.473	10000
10000	10000	BERT Large	0.000	10000
10000	10000	BERT Large	0.000	10000
10000	10000	BERT Large	0.427	10000
10000	10000	BERT Large	0.479	10000
10000	10000	BERT Large	0.396	10000
10000	10000	BERT Large	0.489	10000
10000	10000	BERT Large	0.540	10000
10000	10000	BERT Large	0.426	10000
10000	10000	BERT Large	0.476	10000
10000	10000	BERT Large	0.465	10000
10000	10000	BERT Large	0.410	10000
