Unnamed: 0	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.end_tokens	dataset_reader.type	epoch	evaluate_on_test	iterator.batch_size	iterator.sorting_keys	iterator.type	model.aggregate_feedforward.activations	model.aggregate_feedforward.dropout	model.aggregate_feedforward.hidden_dims	model.aggregate_feedforward.input_dim	model.aggregate_feedforward.num_layers	model.attend_feedforward.activations	model.attend_feedforward.dropout	model.attend_feedforward.hidden_dims	model.attend_feedforward.input_dim	model.attend_feedforward.num_layers	model.compare_feedforward.activations	model.compare_feedforward.dropout	model.compare_feedforward.hidden_dims	model.compare_feedforward.input_dim	model.compare_feedforward.num_layers	model.initializer	model.similarity_function.type	model.text_field_embedder.token_embedders.tokens.embedding_dim	model.text_field_embedder.token_embedders.tokens.pretrained_file	model.text_field_embedder.token_embedders.tokens.projection_dim	model.text_field_embedder.token_embedders.tokens.trainable	model.text_field_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	test_accuracy	test_data_path	test_loss	train_data_path	trainer.cuda_device	trainer.grad_clipping	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_loss	dataset_reader.sample	embedding
0	1	0.4969325153374233	0.7258755138942173	True	single_id	['@@NULL@@']	snli	20	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['relu', 'relu', 'relu', 'linear']	['0.48007872084413283', '0.48007872084413283', '0.48007872084413283', '0.0']	[231, 231, 231, 2]	890	4	relu	0.38859197915129207	315	74	3	tanh	0.4529359612306862	445	148	1	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	74	False	embedding	decomposable_attention	2803.664	0	11353	2801	2919	0.6039510818438382	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.6722116715767804	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	9.441609600126482	140	1	0.05010108609837558	adagrad	20	+accuracy	0.6356162061366333	2803.652	165.0	20	0	11353	2801	2919	0.6509515146414439	0	0.4961656441717792	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.7191777796972365	23596	glove
1	5	0.4930981595092024	0.7763582723481315	True	single_id	['@@NULL@@']	snli	24	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['tanh', 'tanh', 'tanh', 'linear']	['0.36621091831679187', '0.36621091831679187', '0.36621091831679187', '0.0']	[448, 448, 448, 2]	860	4	relu	0.10988590860576893	204	116	3	relu	0.10400389275111704	430	232	1	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	116	False	embedding	decomposable_attention	2804.78	0	11353	1617	2067	0.5785512699905927	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.6908068201121162	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	5.089048549458107	140	1	2.6364500663947296e-06	adagrad	20	+accuracy	0.5647143583658247	2804.78	194.0	24	0	11353	1617	2067	0.8006378891991406	0	0.4907975460122699	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.8017979235876174	23596	glove
2	8	0.5176380368098159	0.9304970162255424	True	single_id	['@@NULL@@']	snli	27	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['relu', 'relu', 'linear']	['0.06362114429737814', '0.06362114429737814', '0.0']	[405, 405, 2]	236	3	tanh	0.10249863379701336	273	285	1	relu	0.105240223987966	118	570	2	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	285	False	embedding	decomposable_attention	2803.16	0	11353	2519	2003	0.38381937911571024	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_test.txt	1.0328248511342442	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	5.0789666776788245	140	1	1.1152602266743264e-06	adagrad	20	+accuracy	0.4469825394134599	2803.16	208.0	27	0	11353	2519	2003	0.9876337981805569	0	0.4693251533742331	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.8266497822034926	23596	glove
3	126	0.7078220858895705	0.5617148727178574	True	single_id	['@@NULL@@']	snli	139	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['tanh', 'linear']	['0.17322961538012627', '0.0']	[182, 2]	428	2	tanh	0.039992469108677535	427	268	1	tanh	0.33655784434989305	214	536	3	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	268	False	embedding	decomposable_attention	2803.34	0	11353	3565	3147	0.7257761053621825	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.5731356122037944	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	6.1414531401687045	140	1	0.00011151164189475547	adagrad	20	+accuracy	0.7105017799627056	2803.34	1065.0	139	0	11353	3565	2065	0.5790383584575278	0	0.7055214723926381	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.5646226775078547	23596	glove
4	11	0.8090490797546013	0.4362179253782545	True	single_id	['@@NULL@@']	snli	30	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['relu', 'linear']	['0.38521115400534117', '0.0']	[76, 2]	584	2	tanh	0.4293191027287181	225	111	1	relu	0.1130415324656186	292	222	3	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	111	False	embedding	decomposable_attention	2803.42	0	11353	2167	1311	0.7648165569143932	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.5175412661012482	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	8.46025741951375	140	1	0.0012299148925525199	adagrad	20	+accuracy	0.8609510086455331	2803.42	230.00000000000003	30	0	11353	2167	1311	0.3296980594151065	0	0.7883435582822086	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.4457796223106839	23596	glove
5	2	0.5521472392638037	0.8123757413455418	True	single_id	['@@NULL@@']	snli	21	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['tanh', 'linear']	['0.017162405893360932', '0.0']	[98, 2]	710	2	tanh	0.291222234011579	400	146	1	tanh	0.10843556337657018	355	292	2	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	146	False	embedding	decomposable_attention	2802.548	0	11353	3347	2113	0.4807149576669802	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.8878625105409061	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	5.925354036306393	140	1	1.0600744240297927e-06	adagrad	20	+accuracy	0.5527631802000339	2802.548	160.0	21	0	11353	3347	1495	0.7916654500211804	0	0.5452453987730062	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.7929541724068778	23596	glove
6	138	0.6679447852760736	0.6099997631141117	True	single_id	['@@NULL@@']	snli	139	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['tanh', 'tanh', 'tanh', 'linear']	['0.12596952657174065', '0.12596952657174065', '0.12596952657174065', '0.0']	[247, 247, 247, 2]	696	4	tanh	0.0559984989305064	411	148	1	tanh	0.34853195907702617	348	296	1	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	148	False	embedding	decomposable_attention	2806.528	0	11353	3419	3147	0.6914393226716841	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.5970006212592125	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	7.029551959221622	140	1	3.5616167001129545e-05	adagrad	20	+accuracy	0.6850737413120868	2806.528	1036.0	139	0	11353	3419	3147	0.5869653934870309	0	0.6679447852760736	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.6089441066696529	23596	glove
7	36	0.7906441717791411	0.5135109027226766	True	single_id	['@@NULL@@']	snli	55	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['tanh', 'tanh', 'tanh', 'linear']	['0.46792510604093207', '0.46792510604093207', '0.46792510604093207', '0.0']	[70, 70, 70, 2]	486	4	tanh	0.3822629323556074	204	296	3	tanh	0.09869204467717807	243	592	2	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	296	False	embedding	decomposable_attention	2803.304	0	11353	3565	2065	0.7304797742238947	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.6003904386478311	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	8.094228838708219	140	1	0.003846409904712057	adagrad	20	+accuracy	0.8152652992032547	2803.304	441.0	55	0	11353	1683	2065	0.4182951536968472	0	0.7684049079754601	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.540242239123299	23596	glove
8	125	0.7147239263803681	0.5797507053329831	True	single_id	['@@NULL@@']	snli	139	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['tanh', 'tanh', 'tanh', 'linear']	['0.2589394232644291', '0.2589394232644291', '0.2589394232644291', '0.0']	[179, 179, 179, 2]	220	4	relu	0.2907743064178801	369	196	1	tanh	0.11064482357940124	110	392	3	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	196	False	embedding	decomposable_attention	2804.96	0	11353	3419	3147	0.7149576669802445	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.5793251092819607	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	6.831901740825093	140	1	9.960042951374329e-05	adagrad	20	+accuracy	0.707196134938125	2804.96	1087.0	139	0	11353	1553	3147	0.5702814152287597	0	0.7078220858895705	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.5806116404987517	23596	glove
9	3	0.5084355828220859	0.723086709067935	True	single_id	['@@NULL@@']	snli	22	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['tanh', 'linear']	['0.05638075797506653', '0.0']	[114, 2]	592	2	tanh	0.349530678052396	322	158	3	relu	0.4151863254811332	296	316	3	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	158	False	embedding	decomposable_attention	2813.572	0	11353	1683	2891	0.5954844778927564	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.6672299241318422	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	7.978876126077266	140	1	5.517149578079681e-05	adagrad	20	+accuracy	0.6099338870995084	2813.572	189.0	22	0	11353	1683	2891	0.6716638778444874	0	0.5061349693251533	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.7079716111932483	23596	glove
