Unnamed: 0	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.end_tokens	dataset_reader.type	epoch	evaluate_on_test	iterator.batch_size	iterator.sorting_keys	iterator.type	model.aggregate_feedforward.activations	model.aggregate_feedforward.dropout	model.aggregate_feedforward.hidden_dims	model.aggregate_feedforward.input_dim	model.aggregate_feedforward.num_layers	model.attend_feedforward.activations	model.attend_feedforward.dropout	model.attend_feedforward.hidden_dims	model.attend_feedforward.input_dim	model.attend_feedforward.num_layers	model.compare_feedforward.activations	model.compare_feedforward.dropout	model.compare_feedforward.hidden_dims	model.compare_feedforward.input_dim	model.compare_feedforward.num_layers	model.initializer	model.similarity_function.type	model.text_field_embedder.token_embedders.tokens.embedding_dim	model.text_field_embedder.token_embedders.tokens.pretrained_file	model.text_field_embedder.token_embedders.tokens.projection_dim	model.text_field_embedder.token_embedders.tokens.trainable	model.text_field_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	test_accuracy	test_data_path	test_loss	train_data_path	trainer.cuda_device	trainer.grad_clipping	trainer.num_epochs	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_loss	dataset_reader.sample	embedding
0	133	0.7893720788457631	0.5487184027185688	True	single_id	['@@NULL@@']	snli	139	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['relu', 'relu', 'linear']	['0.2626440999072005', '0.2626440999072005', '0.0']	[232, 232, 3]	610	3	tanh	0.3904475235831753	139	233	2	relu	0.09986172499006467	305	466	2	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	233	False	embedding	decomposable_attention	7416.411999999998	1675	2681	2807	3635	3589	3487	2319	1521	0.7876628664495114	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_test.jsonl	0.5538885945623572	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_train.jsonl	0	7.184317658368872	140	0.07955771066991256	adagrad	20	+accuracy	0.7612197310723069	7416.411999999998	40088.0	139	1675	2681	2157	3635	1561	3487	2167	1521	0.5837549251423522	0	0.7886608412924202	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_dev.jsonl	0.5416579790316619	550152	glove
1	139	0.7797195691932534	0.5431343206724564	True	single_id	['@@NULL@@']	snli	139	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['tanh', 'linear']	['0.22825406815281685', '0.0']	[382, 3]	396	2	relu	0.2223530180321594	248	134	3	relu	0.17525243194620488	198	268	2	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	134	False	embedding	decomposable_attention	7405.728	2195	1513	2807	2135	3589	2965	2389	2929	0.7827768729641694	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_test.jsonl	0.5453265061626187	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_train.jsonl	0	7.010710632735478	140	0.011829184797946294	adagrad	20	+accuracy	0.7602950304623322	7405.728	40614.0	139	2195	1211	2807	1115	3589	1825	1667	2929	0.5868738304931265	0	0.7797195691932534	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_dev.jsonl	0.5431343206724564	550152	glove
2	136	0.7221093273724852	0.6701613318223458	True	single_id	['@@NULL@@']	snli	139	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['relu', 'linear']	['0.39112552709009063', '0.0']	[452, 3]	866	2	tanh	0.0957073439194599	238	68	1	tanh	0.21882486368666165	433	136	1	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	68	False	embedding	decomposable_attention	7415.0	3423	1513	2807	2135	3589	2965	2389	2929	0.7275040716612378	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_test.jsonl	0.6658850881186399	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_train.jsonl	0	5.098082726497954	140	0.000213690432939993	adagrad	20	+accuracy	0.6961047896943209	7415.0	36755.0	139	2195	1211	2807	2135	3589	1825	2389	2929	0.7166160201898604	0	0.7212964844543792	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_dev.jsonl	0.6694958467375148	550152	glove
3	136	0.6536273115220483	0.7919177958717594	True	single_id	['@@NULL@@']	snli	139	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['tanh', 'linear']	['0.4754171295076094', '0.0']	[385, 3]	390	2	relu	0.33858022870698273	242	278	1	tanh	0.4660935486125987	195	556	1	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	278	False	embedding	decomposable_attention	7417.312	1675	2681	2967	3635	1561	3487	2167	3313	0.6589983713355049	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_test.jsonl	0.7925025073738842	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_train.jsonl	0	5.8159035759049065	140	0.036121143140366865	adagrad	20	+accuracy	0.6163675648519114	7417.312	34963.0	139	1581	0	2967	1295	0	2715	2167	0	0.8487050894227743	0	0.65149359886202	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_dev.jsonl	0.7928823085574359	550152	glove
4	85	0.3778703515545621	1.0914743310445314	True	single_id	['@@NULL@@']	snli	104	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['relu', 'relu', 'relu', 'linear']	['0.40547937208052326', '0.40547937208052326', '0.40547937208052326', '0.0']	[173, 173, 173, 3]	592	4	relu	0.2961818233447057	164	182	3	relu	0.11493917313351255	296	364	3	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	182	False	embedding	decomposable_attention	7421.211999999998	3423	1687	1287	1141	2919	2425	2237	2551	0.3844666123778502	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_test.jsonl	1.089334354772196	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_train.jsonl	0	7.699734621706789	140	2.4792990581293905e-06	adagrad	20	+accuracy	0.3418407002968871	7421.211999999998	33981.0	104	3423	1687	1287	1141	1405	2425	2237	2551	1.1579111873798025	0	0.37543182280024384	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_dev.jsonl	1.0912781953811646	550152	glove
5	139	0.5677707782970941	0.9359013283407532	True	single_id	['@@NULL@@']	snli	139	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['relu', 'relu', 'relu', 'linear']	['0.29913747702737614', '0.29913747702737614', '0.29913747702737614', '0.0']	[225, 225, 225, 3]	958	4	tanh	0.23590227735406225	116	187	3	relu	0.027337751599200932	479	374	3	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	187	False	embedding	decomposable_attention	7407.812	3423	2671	3447	1515	1405	2965	2237	2551	0.5714576547231272	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_test.jsonl	0.9343870769847524	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_train.jsonl	0	6.812610038603702	140	2.1777620242131687e-05	adagrad	20	+accuracy	0.5218114666516189	7407.812	45593.0	139	3423	2671	1573	1515	1405	2965	1859	1349	0.9863037727669034	0	0.5677707782970941	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_dev.jsonl	0.9359013283407532	550152	glove
6	38	0.4806949806949807	1.0197022739168886	True	single_id	['@@NULL@@']	snli	57	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['tanh', 'tanh', 'linear']	['0.34294957338287446', '0.34294957338287446', '0.0']	[451, 451, 3]	690	3	relu	0.18712927277405011	419	196	3	tanh	0.4614899058568235	345	392	2	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	196	False	embedding	decomposable_attention	7417.052	1675	2681	2967	3635	1561	3487	2167	3313	0.4909405537459283	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_test.jsonl	1.0161132173878806	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_train.jsonl	0	7.109954212720624	140	0.08662186202780582	adagrad	20	+accuracy	0.4529758795122386	7417.052	17786.0	57	1581	2681	2967	1295	1561	10	2167	3313	1.0428164495018075	0	0.4750050802682382	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_dev.jsonl	1.0207385134387326	550152	glove
7	7	0.3382442592968909	1.1022616733204236	True	single_id	['@@NULL@@']	snli	26	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['tanh', 'tanh', 'tanh', 'linear']	['0.2620608311102062', '0.2620608311102062', '0.2620608311102062', '0.0']	[368, 368, 368, 3]	888	4	relu	0.26465391198836363	64	87	3	relu	0.07311767802814623	444	174	3	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	87	False	embedding	decomposable_attention	7404.528	2195	1211	2807	1115	3589	1825	2389	2929	0.3428338762214984	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_test.jsonl	1.1019926133093896	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_train.jsonl	0	5.386679584544782	140	0.09751505901341594	adagrad	20	+accuracy	0.3330833486539963	7404.528	8353.0	26	1675	1211	2807	1115	3589	1825	2319	1521	1.1025127278569693	0	0.3330623856939646	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_dev.jsonl	1.1079716473430783	550152	glove
8	135	0.8444421865474497	0.4038479493616463	True	single_id	['@@NULL@@']	snli	139	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['relu', 'linear']	['0.05505787427230163', '0.0']	[492, 3]	448	2	tanh	0.3660674918758617	152	176	1	relu	0.23184438121743026	224	352	2	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	176	False	embedding	decomposable_attention	7404.711999999998	1581	2681	2967	1295	1561	3487	2167	3313	0.839678338762215	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_test.jsonl	0.4144639234457697	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_train.jsonl	0	9.8461103510045	140	0.004157730194846503	adagrad	20	+accuracy	0.8303611247126238	7404.711999999998	34229.0	139	1581	0	2967	0	0	2715	0	0	0.4328832856543494	0	0.8431213168055274	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_dev.jsonl	0.403328747331322	550152	glove
9	137	0.727900833163991	0.6497023063046592	True	single_id	['@@NULL@@']	snli	139	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['relu', 'relu', 'linear']	['0.20364595031231775', '0.20364595031231775', '0.0']	[385, 385, 3]	636	3	tanh	0.3489880025182221	162	98	3	relu	0.016451456148542487	318	196	3	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	98	False	embedding	decomposable_attention	7404.991999999998	1675	2681	2807	3635	3589	3487	2319	3313	0.7366653094462541	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_test.jsonl	0.6368636096065695	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_train.jsonl	0	9.570841957802564	140	0.00018068603596774186	adagrad	20	+accuracy	0.7060125562693063	7404.991999999998	42966.0	139	1675	2681	2157	1047	1561	3487	2167	3313	0.6918976885290037	0	0.7269863848811218	https://s3-us-west-2.amazonaws.com/allennlp/datasets/snli/snli_1.0_dev.jsonl	0.6515034437179565	550152	glove
