dataset_reader.sample	trainer.optimizer.lr	model.encoder.architecture.type	best_validation_accuracy	training_duration
10000	10000	BERT Large	0.316	10000
10000	10000	BERT Large	0.807	10000
10000	10000	BERT Large	0.797	10000
10000	10000	BERT Large	0.799	10000
10000	10000	BERT Large	0.765	10000
10000	10000	BERT Large	0.778	10000
10000	10000	BERT Large	0.809	10000
10000	10000	BERT Large	0.741	10000
10000	10000	BERT Large	0.800	10000
10000	10000	BERT Large	0.782	10000
10000	10000	BERT Large	0.802	10000
10000	10000	BERT Large	0.316	10000
10000	10000	BERT Large	0.790	10000
10000	10000	BERT Large	0.781	10000
10000	10000	BERT Large	0.316	10000
10000	10000	BERT Large	0.779	10000
10000	10000	BERT Large	0.797	10000
10000	10000	BERT Large	0.316	10000
10000	10000	BERT Large	0.316	10000
10000	10000	BERT Large	0.802	10000
10000	10000	BERT Large MNLI	0.807	10000
10000	10000	BERT Large MNLI	0.797	10000
10000	10000	BERT Large MNLI	0.316	10000
10000	10000	BERT Large MNLI	0.316	10000
10000	10000	BERT Large MNLI	0.800	10000
10000	10000	BERT Large MNLI	0.807	10000
10000	10000	BERT Large MNLI	0.803	10000
10000	10000	BERT Large MNLI	0.804	10000
10000	10000	BERT Large MNLI	0.799	10000
10000	10000	BERT Large MNLI	0.805	10000
10000	10000	BERT Large MNLI	0.804	10000
10000	10000	BERT Large MNLI	0.808	10000
10000	10000	BERT Large MNLI	0.803	10000
10000	10000	BERT Large MNLI	0.316	10000
10000	10000	BERT Large MNLI	0.789	10000
10000	10000	BERT Large MNLI	0.809	10000
10000	10000	BERT Large MNLI	0.804	10000
10000	10000	BERT Large MNLI	0.808	10000
10000	10000	BERT Large MNLI	0.804	10000
10000	10000	BERT Large MNLI	0.802	10000
