	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.max_tokens	dataset_reader.max_tuples	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.end_tokens	dataset_reader.type	epoch	iterator.batch_size	iterator.sorting_keys	iterator.type	model.attention_similarity.type	model.edge_embedding.embedding_dim	model.edge_embedding.vocab_namespace	model.edge_probability.activations	model.edge_probability.dropout	model.edge_probability.hidden_dims	model.edge_probability.input_dim	model.edge_probability.num_layers	model.ignore_edges	model.initializer	model.phrase_probability.activations	model.phrase_probability.dropout	model.phrase_probability.hidden_dims	model.phrase_probability.input_dim	model.phrase_probability.num_layers	model.premise_encoder.bidirectional	model.premise_encoder.hidden_size	model.premise_encoder.input_size	model.premise_encoder.num_layers	model.premise_encoder.type	model.text_field_embedder.tokens.embedding_dim	model.text_field_embedder.tokens.pretrained_file	model.text_field_embedder.tokens.projection_dim	model.text_field_embedder.tokens.trainable	model.text_field_embedder.tokens.type	model.type	model.use_encoding_for_node	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	test_data_path	train_data_path	trainer.cuda_device	trainer.grad_norm	trainer.learning_rate_scheduler.gamma	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_loss	dataset_reader.sample
0	26	0.7384969325153374	0.5341779676879325	500	500	True	single_id	[]	entailment_tuple	45	16	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	dot_product	260	edges	['tanh', 'tanh', 'linear']	['0.37850791584915927', '0.37850791584915927', '0.0']	[383, 383, 2]	1524	3	False	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens._projection.*weight', {'type': 'xavier_normal'}]]	['tanh', 'tanh', 'linear']	['0.39583945715013175', '0.39583945715013175', '0']	[474, 474, 2]	656	3	True	316	164	2	lstm	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	164	False	embedding	tree_attention	False	3205.02	5953	7693	4587	7721	5695	7239	2701	5673	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_test.tsv	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_train.tsv	0	5.711997177123708	0.5	exponential	140	5.824241923568702e-05	adam	20	+accuracy	0.8103192436511638	3205.02	3486.0	45	5953	7407	4587	7721	5371	3997	2701	5673	0.40889682840808467	0	0.727760736196319	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_dev.tsv	0.5347041257816117	10000
1	4	0.7415644171779141	0.5604066025556588	500	500	True	single_id	[]	entailment_tuple	23	16	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	dot_product	204	edges	['tanh', 'tanh', 'tanh', 'linear']	['0.3289850566624552', '0.3289850566624552', '0.3289850566624552', '0.0']	[301, 301, 301, 2]	1300	4	False	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens._projection.*weight', {'type': 'xavier_normal'}]]	['relu', 'relu', 'relu', 'linear']	['0.17783129432033884', '0.17783129432033884', '0.17783129432033884', '0']	[400, 400, 400, 2]	576	4	True	274	144	2	lstm	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	144	False	embedding	tree_attention	False	3202.556	4353	8089	6739	5861	6025	3933	4239	6457	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_test.tsv	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_train.tsv	0	7.4662032161897045	0.5	exponential	140	0.0021741029062772644	adam	20	+accuracy	0.8945605630220036	3202.552	1871.0000000000002	23	3603	8089	6739	5861	0	3933	2941	0	0.25813970167979094	0	0.7070552147239264	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_dev.tsv	0.7234972755356532	10000
2	32	0.6932515337423313	0.5803136640205616	500	500	True	single_id	[]	entailment_tuple	51	16	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	dot_product	297	edges	['relu', 'relu', 'relu', 'linear']	['0.18362358313061683', '0.18362358313061683', '0.18362358313061683', '0.0']	[260, 260, 260, 2]	1985	4	False	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens._projection.*weight', {'type': 'xavier_normal'}]]	['relu', 'linear']	['0.1750087096247525', '0']	[83, 2]	580	2	True	422	145	2	lstm	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	145	False	embedding	tree_attention	False	3217.712	7336	7417	5295	6303	4181	6239	5579	4016	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_test.tsv	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_train.tsv	0	7.839596658984082	0.5	exponential	140	1.4328683168237583e-05	adam	20	+accuracy	0.7407894178996905	3217.712	4070.0000000000005	51	6555	7417	5295	6303	4181	2649	5511	1259	0.5118567795015998	0	0.691717791411043	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_dev.tsv	0.5802441948070759	10000
3	26	0.696319018404908	0.582683701704188	500	500	True	single_id	[]	entailment_tuple	45	16	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	dot_product	270	edges	['relu', 'linear']	['0.2667371222724052', '0.0']	[282, 2]	1594	2	False	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens._projection.*weight', {'type': 'xavier_normal'}]]	['relu', 'linear']	['0.2242537103671084', '0']	[426, 2]	980	2	True	331	245	1	lstm	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	245	False	embedding	tree_attention	False	3195.56	7453	7751	8039	7231	4771	7835	5645	6543	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_test.tsv	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_train.tsv	0	6.10653104144405	0.5	exponential	140	1.2940689042122057e-05	adam	20	+accuracy	0.7469792682409802	3195.56	3001.0	45	7453	6941	7835	4471	2825	7835	5645	6543	0.5054258777933606	0	0.6955521472392638	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_dev.tsv	0.583580868454968	10000
4	15	0.593558282208589	0.6439829127090734	500	500	True	single_id	[]	entailment_tuple	34	16	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	dot_product	215	edges	['tanh', 'tanh', 'tanh', 'linear']	['0.4341646613096576', '0.4341646613096576', '0.4341646613096576', '0.0']	[182, 182, 182, 2]	1153	4	False	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens._projection.*weight', {'type': 'xavier_normal'}]]	['tanh', 'linear']	['0.23524206560746985', '0']	[221, 2]	808	2	False	469	202	3	lstm	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	202	False	embedding	tree_attention	False	3208.396	4543	8089	6739	5861	6751	6451	6115	6655	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_test.tsv	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_train.tsv	0	9.17644779792361	0.5	exponential	140	4.867862794542615e-06	adam	20	+accuracy	0.6885572561156569	3208.392	2611.0	34	4543	8089	6739	5861	10	1645	6115	5799	0.5819164831153417	0	0.588957055214724	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_dev.tsv	0.644477499694359	10000
5	2	0.7645705521472392	0.49463410048586565	500	500	True	single_id	[]	entailment_tuple	21	16	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	dot_product	283	edges	['tanh', 'tanh', 'linear']	['0.01345790335294833', '0.01345790335294833', '0.0']	[416, 416, 2]	1307	3	False	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens._projection.*weight', {'type': 'xavier_normal'}]]	['tanh', 'tanh', 'linear']	['0.47800351258062485', '0.47800351258062485', '0']	[134, 134, 2]	960	3	True	256	240	3	lstm	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	240	False	embedding	tree_attention	False	3208.32	4271	7953	4587	5669	2835	7415	2071	5975	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_test.tsv	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_train.tsv	0	8.369218210651177	0.5	exponential	140	0.0008791549981891907	adam	20	+accuracy	0.9550175944376139	3208.32	1809.0	21	4271	7953	4587	5669	2835	2441	2071	5975	0.13020748535873589	0	0.7515337423312883	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_dev.tsv	0.7909035297428689	10000
6	9	0.6656441717791411	0.6368349841455134	500	500	True	single_id	[]	entailment_tuple	28	16	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	dot_product	136	edges	['tanh', 'linear']	['0.1608333898054327', '0.0']	[213, 2]	1132	2	False	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens._projection.*weight', {'type': 'xavier_normal'}]]	['tanh', 'tanh', 'tanh', 'linear']	['0.15156123652577574', '0.15156123652577574', '0.15156123652577574', '0']	[111, 111, 111, 2]	376	4	False	498	94	3	lstm	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	94	False	embedding	tree_attention	False	3207.608	5953	7409	4587	4581	6331	3997	2379	3157	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_test.tsv	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_train.tsv	0	9.57205751692737	0.5	exponential	140	0.007685159652303284	adam	20	+accuracy	0.7326493407385424	3207.608	2102.0	28	5953	6381	4587	4581	3015	1867	2379	1817	0.5561081695758691	0	0.6533742331288344	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_dev.tsv	0.6461979492408473	10000
7	9	0.7047546012269938	0.58159285329464	500	500	True	single_id	[]	entailment_tuple	28	16	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	dot_product	122	edges	['tanh', 'tanh', 'linear']	['0.31500552308013197', '0.31500552308013197', '0.0']	[399, 399, 2]	430	3	False	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens._projection.*weight', {'type': 'xavier_normal'}]]	['relu', 'relu', 'relu', 'linear']	['0.1836819202776372', '0.1836819202776372', '0.1836819202776372', '0']	[323, 323, 323, 2]	1168	4	True	77	292	2	lstm	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	292	False	embedding	tree_attention	False	3190.972	5177	8089	6739	5861	4787	3301	2919	4449	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_test.tsv	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_train.tsv	0	9.730667387794337	0.5	exponential	140	1.6484785672106973e-05	adam	20	+accuracy	0.75995251621656	3190.972	2196.0	28	5177	8089	6739	5861	2719	3301	1787	4449	0.49091529297626624	0	0.7039877300613497	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_dev.tsv	0.5799772359612512	10000
8	7	0.75920245398773	0.5594009155543839	500	500	True	single_id	[]	entailment_tuple	26	16	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	dot_product	246	edges	['tanh', 'tanh', 'linear']	['0.3308790466122902', '0.3308790466122902', '0.0']	[455, 455, 2]	1008	3	False	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens._projection.*weight', {'type': 'xavier_normal'}]]	['tanh', 'tanh', 'linear']	['0.41973812747111433', '0.41973812747111433', '0']	[180, 180, 2]	864	3	False	381	216	2	lstm	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	216	False	embedding	tree_attention	False	3196.372	4271	7953	4587	5669	4277	2441	2071	5975	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_test.tsv	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_train.tsv	0	7.153123384106027	0.5	exponential	140	0.00017519665789224922	adam	20	+accuracy	0.8260906431508882	3196.372	1848.0000000000002	26	4271	7953	4587	5669	3541	1619	1401	5975	0.3807358687560437	0	0.7507668711656442	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_dev.tsv	0.5624999751041575	10000
9	4	0.7553680981595092	0.553718928838285	500	500	True	single_id	[]	entailment_tuple	23	16	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	dot_product	190	edges	['relu', 'relu', 'linear']	['0.26581184535966573', '0.26581184535966573', '0.0']	[395, 395, 2]	742	3	False	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens._projection.*weight', {'type': 'xavier_normal'}]]	['tanh', 'tanh', 'linear']	['0.34516043773464883', '0.34516043773464883', '0']	[339, 339, 2]	1120	3	False	276	280	2	lstm	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	280	False	embedding	tree_attention	False	3204.66	7825	7417	7709	6303	7769	3437	6651	2761	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_test.tsv	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_train.tsv	0	5.786541663079559	0.5	exponential	140	0.0013205240806714142	adam	20	+accuracy	0.948658159155467	3204.66	1637.0	23	7825	7417	6545	6303	7769	10	6651	2761	0.14560229019384233	0	0.7308282208588958	/home/suching/reproducibility/scitail/SciTailV1.1/dgem_format/scitail_1.0_structure_dev.tsv	0.7657350670637154	10000
