dataset_reader.sample	trainer.optimizer.lr	model.encoder.architecture.type	best_validation_accuracy	training_duration
10000	10000	BERT Large	0.606	10000
10000	10000	BERT Large	0.527	10000
10000	10000	BERT Large	0.646	10000
10000	10000	BERT Large	0.671	10000
10000	10000	BERT Large	0.635	10000
10000	10000	BERT Large	0.473	10000
10000	10000	BERT Large	0.650	10000
10000	10000	BERT Large	0.690	10000
10000	10000	BERT Large	0.632	10000
10000	10000	BERT Large	0.628	10000
10000	10000	BERT Large	0.469	10000
10000	10000	BERT Large	0.527	10000
10000	10000	BERT Large	0.527	10000
10000	10000	BERT Large	0.592	10000
10000	10000	BERT Large	0.578	10000
10000	10000	BERT Large	0.473	10000
10000	10000	BERT Large	0.527	10000
10000	10000	BERT Large	0.534	10000
10000	10000	BERT Large	0.606	10000
10000	10000	BERT Large	0.473	10000
10000	10000	BERT Large MNLI	0.773	10000
10000	10000	BERT Large MNLI	0.827	10000
10000	10000	BERT Large MNLI	0.769	10000
10000	10000	BERT Large MNLI	0.791	10000
10000	10000	BERT Large MNLI	0.758	10000
10000	10000	BERT Large MNLI	0.794	10000
10000	10000	BERT Large MNLI	0.794	10000
10000	10000	BERT Large MNLI	0.801	10000
10000	10000	BERT Large MNLI	0.783	10000
10000	10000	BERT Large MNLI	0.805	10000
10000	10000	BERT Large MNLI	0.787	10000
10000	10000	BERT Large MNLI	0.794	10000
10000	10000	BERT Large MNLI	0.780	10000
10000	10000	BERT Large MNLI	0.791	10000
10000	10000	BERT Large MNLI	0.801	10000
10000	10000	BERT Large MNLI	0.783	10000
10000	10000	BERT Large MNLI	0.794	10000
10000	10000	BERT Large MNLI	0.801	10000
10000	10000	BERT Large MNLI	0.805	10000
10000	10000	BERT Large MNLI	0.809	10000
