	Unnamed: 0	Unnamed: 0.1	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.max_tokens	dataset_reader.max_tuples	dataset_reader.sample	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.end_tokens	dataset_reader.type	epoch	evaluate_on_test	iterator.batch_size	iterator.sorting_keys	iterator.type	model.aggregate_feedforward.activations	model.aggregate_feedforward.dropout	model.aggregate_feedforward.hidden_dims	model.aggregate_feedforward.input_dim	model.aggregate_feedforward.num_layers	model.attend_feedforward.activations	model.attend_feedforward.dropout	model.attend_feedforward.hidden_dims	model.attend_feedforward.input_dim	model.attend_feedforward.num_layers	model.attention_similarity.type	model.classifier.activations	model.classifier.dropout	model.classifier.hidden_dims	model.classifier.input_dim	model.classifier.num_layers	model.compare_feedforward.activations	model.compare_feedforward.dropout	model.compare_feedforward.hidden_dims	model.compare_feedforward.input_dim	model.compare_feedforward.num_layers	model.dropout	model.edge_embedding.embedding_dim	model.edge_embedding.vocab_namespace	model.edge_probability.activations	model.edge_probability.dropout	model.edge_probability.hidden_dims	model.edge_probability.input_dim	model.edge_probability.num_layers	model.encoder.architecture.type	model.encoder.bidirectional	model.encoder.hidden_size	model.encoder.input_size	model.encoder.num_layers	model.encoder.type	model.ignore_edges	model.inference_encoder.bidirectional	model.inference_encoder.hidden_size	model.inference_encoder.input_size	model.inference_encoder.num_layers	model.inference_encoder.type	model.initializer	model.output_feedforward.activations	model.output_feedforward.dropout	model.output_feedforward.hidden_dims	model.output_feedforward.input_dim	model.output_feedforward.num_layers	model.output_logit.activations	model.output_logit.hidden_dims	model.output_logit.input_dim	model.output_logit.num_layers	model.phrase_probability.activations	model.phrase_probability.dropout	model.phrase_probability.hidden_dims	model.phrase_probability.input_dim	model.phrase_probability.num_layers	model.premise_encoder.bidirectional	model.premise_encoder.hidden_size	model.premise_encoder.input_size	model.premise_encoder.num_layers	model.premise_encoder.type	model.projection_feedforward.activations	model.projection_feedforward.hidden_dims	model.projection_feedforward.input_dim	model.projection_feedforward.num_layers	model.similarity_function.type	model.text_field_embedder.token_embedders.tokens.embedding_dim	model.text_field_embedder.token_embedders.tokens.pretrained_file	model.text_field_embedder.token_embedders.tokens.projection_dim	model.text_field_embedder.token_embedders.tokens.trainable	model.text_field_embedder.token_embedders.tokens.type	model.text_field_embedder.tokens.embedding_dim	model.text_field_embedder.tokens.pretrained_file	model.text_field_embedder.tokens.projection_dim	model.text_field_embedder.tokens.trainable	model.text_field_embedder.tokens.type	model.type	model.use_encoding_for_node	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	test_accuracy	test_data_path	test_loss	train_data_path	trainer.cuda_device	trainer.grad_clipping	trainer.grad_norm	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.gamma	trainer.learning_rate_scheduler.mode	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_loss
0	0	0.0	0	0.4961656441717792	0.8023108471007574			10000	True	single_id		snli	4		64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.35327924052985143								esim	True	75.0	300.0	2.0	lstm		True	360.0	218.0	3.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['relu', 'relu', 'relu']	['0.04440476034585922', '0.04440476034585922', '0.04440476034585922']	[358, 358, 358]	2880.0	3.0	linear	3.0	358.0	1.0											['tanh']	[218]	600.0	1.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2879.8920000000007	9949	0	2117	4983						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		6.3937058217706335	0.5		max	0.0	reduce_on_plateau	75	1.0	2.055231975041631e-06	adam	5	+accuracy	0.6211222241057807	2879.8920000000007	156.0	4	9949	0	2117	3117					0.6718842028602352	0	0.4869631901840491	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.7120617003667922
1	1	1.0	22	0.7653374233128835	0.4990760584672292			10000	True	single_id		snli	26		64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.44393086780105934								esim	True	90.0	300.0	2.0	lstm		True	314.0	158.0	3.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['relu']	['0.09678723853766746']	[487]	2512.0	1.0	linear	3.0	487.0	1.0											['tanh']	[158]	720.0	1.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2845.86	9949	0	12118	1895						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		8.28723421112187	0.5		max	0.0	reduce_on_plateau	75	1.0	1.3921742455486097e-05	adam	5	+accuracy	0.7475843363281912	2845.828	791.0	26	9949	0	11702	1895					0.5005920220842852	0	0.7638036809815951	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.5002721044279279
2	2	2.0	0	0.5038343558282209	0.7074357640175593			10000	True	single_id		snli	4		64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.4378610841644207								esim	True	96.0	300.0	2.0	lstm		True	241.0	458.0	3.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['tanh', 'tanh', 'tanh']	['0.35928863248414694', '0.35928863248414694', '0.35928863248414694']	[92, 92, 92]	1928.0	3.0	linear	3.0	92.0	1.0											['tanh', 'tanh']	[458, 458]	768.0	2.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2840.48	9949	9537	11712	5169						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		7.7798544587122915	0.5		max	0.0	reduce_on_plateau	75	1.0	0.0891509642916414	adam	5	+accuracy	0.6023902356331582	2840.48	252.00000000000003	4	9949	9537	11712	4297					0.6872551968588738	0	0.4961656441717792	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.7505334672473726
3	3	3.0	7	0.74079754601227	0.5215457621074858			10000	True	single_id		snli	11		64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.04341418793371049								esim	True	95.0	300.0	3.0	lstm		True	184.0	299.0	3.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['relu']	['0.12655023690515643']	[122]	1472.0	1.0	linear	3.0	122.0	1.0											['relu']	[299]	760.0	1.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2854.044000000001	9949	9537	12150	4259						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		7.614988220406513	0.5		max	0.0	reduce_on_plateau	75	1.0	1.340039961100312e-05	adam	5	+accuracy	0.7945838277674182	2854.04	647.0	11	9949	9537	12150	1983					0.4286460117676717	0	0.7354294478527608	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.5266177044028327
4	4	4.0	0	0.4961656441717792	0.7523622541200548			10000	True	single_id		snli	4		64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.10309061024327232								esim	True	325.0	300.0	3.0	lstm		True	173.0	131.0	1.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['relu', 'relu']	['0.05686679340679962', '0.05686679340679962']	[259, 259]	1384.0	2.0	linear	3.0	259.0	1.0											['tanh', 'tanh', 'tanh']	[131, 131, 131]	2600.0	3.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2844.396	9949	9537	12150	3461						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		8.407854206956461	0.5		max	0.0	reduce_on_plateau	75	1.0	2.8709297935220708e-06	adam	5	+accuracy	0.6241735887438549	2844.396	148.0	4	9949	9537	9987	3459					0.6527133079240639	0	0.4900306748466258	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.7125970068432036
5	5	5.0	9	0.7868098159509203	0.4773650211947305			10000	True	single_id		snli	13		64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.31417361562063817								esim	True	339.0	300.0	1.0	lstm		True	361.0	94.0	3.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['relu', 'relu', 'relu']	['0.40934975267260637', '0.40934975267260637', '0.40934975267260637']	[486, 486, 486]	2888.0	3.0	linear	3.0	486.0	1.0											['relu']	[94]	2712.0	1.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2886.364	9949	10723	12016	3501						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		9.621456344565424	0.5		max	0.0	reduce_on_plateau	75	1.0	9.453930149102484e-05	adam	5	+accuracy	0.8626885912866588	2886.364	672.0	13	9949	0	12016	2711					0.3185953308795364	0	0.7837423312883436	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.4875531068869999
6	6	6.0	0	0.4961656441717792	0.7211239224388486			10000	True	single_id		snli	4		64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.23964857679425								esim	True	69.0	300.0	2.0	lstm		True	93.0	490.0	2.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['relu', 'relu', 'relu']	['0.3327632717790009', '0.3327632717790009', '0.3327632717790009']	[361, 361, 361]	744.0	3.0	linear	3.0	361.0	1.0											['tanh']	[490]	552.0	1.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2837.788	9949	9535	11866	1659						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		8.855157818703695	0.5		max	0.0	reduce_on_plateau	75	1.0	0.011989586593024924	adam	5	+accuracy	0.6354466858789626	2837.788	111.0	4	9949	9535	11866	1659					0.6564053783248757	0	0.4961656441717792	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.7322275354748681
7	7	7.0	6	0.7814417177914108	0.5547889669736227			10000	True	single_id		snli	10		64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.14893622321163566								esim	True	104.0	300.0	2.0	lstm		True	297.0	477.0	1.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['tanh', 'tanh', 'tanh']	['0.3381191297990274', '0.3381191297990274', '0.3381191297990274']	[420, 420, 420]	2376.0	3.0	linear	3.0	420.0	1.0											['tanh', 'tanh', 'tanh']	[477, 477, 477]	832.0	3.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2844.052	9949	9537	12070	5023						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		7.811157293991902	0.5		max	0.0	reduce_on_plateau	75	1.0	0.0003195332169383376	adam	5	+accuracy	0.9287591117138498	2844.052	334.0	10	9949	9537	12070	10					0.17981628391154736	0	0.7760736196319018	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.5748579111837205
8	8	8.0	0	0.4961656441717792	0.7450557209196544			10000	True	single_id		snli	4		64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.12849755444209424								esim	True	257.0	300.0	2.0	lstm		True	377.0	386.0	3.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['relu']	['0.33518148144291254']	[297]	3016.0	1.0	linear	3.0	297.0	1.0											['tanh', 'tanh']	[386, 386]	2056.0	2.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2914.384	9949	9537	12028	3815						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		7.3278217297279475	0.5		max	0.0	reduce_on_plateau	75	1.0	1.3942359839583406e-06	adam	5	+accuracy	0.6206136633327682	2914.384	281.0	4	9949	9537	12026	10					0.668475855899051	0	0.4961656441717792	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.7097491082691011
9	9	9.0	5	0.7929447852760736	0.4809698466034162			10000	True	single_id		snli	9		64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.3635286588124274								esim	True	145.0	300.0	2.0	lstm		True	355.0	248.0	3.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['tanh', 'tanh']	['0.2888162731054189', '0.2888162731054189']	[129, 129]	2840.0	2.0	linear	3.0	129.0	1.0											['tanh', 'tanh']	[248, 248]	1160.0	2.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2885.1240000000007	9949	10569	2433	2607						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		5.447899621689869	0.5		max	0.0	reduce_on_plateau	75	1.0	0.00015715622019450606	adam	5	+accuracy	0.8422614002373283	2885.1240000000007	321.0	9	9949	10029	2433	2607					0.3589340563621221	0	0.7814417177914108	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.4648276446830658
