Unnamed: 0	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.end_tokens	dataset_reader.type	epoch	evaluate_on_test	iterator.batch_size	iterator.sorting_keys	iterator.type	model.aggregate_feedforward.activations	model.aggregate_feedforward.dropout	model.aggregate_feedforward.hidden_dims	model.aggregate_feedforward.input_dim	model.aggregate_feedforward.num_layers	model.attend_feedforward.activations	model.attend_feedforward.dropout	model.attend_feedforward.hidden_dims	model.attend_feedforward.input_dim	model.attend_feedforward.num_layers	model.classifier.activations	model.classifier.dropout	model.classifier.hidden_dims	model.classifier.input_dim	model.classifier.num_layers	model.compare_feedforward.activations	model.compare_feedforward.dropout	model.compare_feedforward.hidden_dims	model.compare_feedforward.input_dim	model.compare_feedforward.num_layers	model.encoder.architecture.type	model.initializer	model.similarity_function.type	model.text_field_embedder.token_embedders.tokens.embedding_dim	model.text_field_embedder.token_embedders.tokens.pretrained_file	model.text_field_embedder.token_embedders.tokens.projection_dim	model.text_field_embedder.token_embedders.tokens.trainable	model.text_field_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	test_accuracy	test_data_path	test_loss	train_data_path	trainer.cuda_device	trainer.grad_clipping	trainer.grad_norm	trainer.learning_rate_scheduler.gamma	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_loss	dataset_reader.sample
0	0	0.4961656441717792	0.8199591210910252	True	single_id	['@@NULL@@']	snli	19	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['tanh', 'linear']	['0.3778292217727273', '0.0']	[480, 2]	784.0	2.0	relu	0.19900353178775534	480.0	185.0	2.0						tanh	0.3608896325569891	392.0	370.0	1.0	dam	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	185.0	False	embedding	decomposable_attention	2805.336	9949	9535	11830	2175	0.6039510818438382	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.7152139807448668	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	7.619985179557432				140	1.0	0.029991057710090693	adagrad	20	+accuracy	0.6313781996948635	2805.336	158.0	19	9949	9535	11830	2175	0.6656214867827046	0	0.4961656441717792	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.7079891307013375	10000
1	58	0.7331288343558282	0.5573343819095975	True	single_id	['@@NULL@@']	snli	77	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['tanh', 'tanh', 'linear']	['0.16702300213718724', '0.16702300213718724', '0.0']	[147, 147, 2]	294.0	3.0	relu	0.14246333592296412	475.0	244.0	3.0						tanh	0.4960697821985408	147.0	488.0	3.0	dam	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	244.0	False	embedding	decomposable_attention	2818.2	9949	10985	3043	5421	0.6881467544684854	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.6029865470002679	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	8.90755101114399				140	1.0	0.0001849511901042469	adagrad	20	+accuracy	0.717452110527208	2818.2	644.0	77	9949	10445	3043	5421	0.5542477300658135	0	0.7269938650306749	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.5566892638092951	10000
2	82	0.7676380368098159	0.5066723482949393	True	single_id	['@@NULL@@']	snli	101	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['tanh', 'linear']	['0.2883575041576531', '0.0']	[261, 2]	430.0	2.0	relu	0.4168958929106975	272.0	198.0	1.0						tanh	0.03196093388411314	215.0	396.0	1.0	dam	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	198.0	False	embedding	decomposable_attention	2814.788	9949	9867	2477	1513	0.7568203198494826	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.5378185383537236	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	9.988133086844703				140	1.0	0.00047821505185572267	adagrad	20	+accuracy	0.8431090015256824	2814.788	692.0	101	9949	8857	2477	1513	0.35723140887249777	0	0.7676380368098159	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.5062927390847888	10000
3	0	0.4961656441717792	0.7351070926302955	True	single_id	['@@NULL@@']	snli	19	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['tanh', 'linear']	['0.011327976146198515', '0.0']	[71, 2]	946.0	2.0	relu	0.4369845965820781	383.0	175.0	3.0						relu	0.3542688980534192	473.0	350.0	1.0	dam	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	175.0	False	embedding	decomposable_attention	2816.164	9949	10961	3265	2017	0.6039510818438382	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.6760610499802757	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	8.916332978471285				140	1.0	0.01469704229272873	adagrad	20	+accuracy	0.6341752839464316	2816.164	157.0	19	9949	10961	3265	2017	0.6595443286062256	0	0.4961656441717792	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.7351823051770529	10000
4	32	0.7937116564417178	0.4836844958010174	True	single_id	['@@NULL@@']	snli	51	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['relu', 'linear']	['0.48118605986253893', '0.0']	[473, 2]	614.0	2.0	tanh	0.1589548275521691	415.0	111.0	3.0						tanh	0.3422093996102254	307.0	222.0	2.0	dam	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	111.0	False	embedding	decomposable_attention	2821.696	9949	8571	1493	3513	0.8066792097836313	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.4551251302747166	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	5.6435088255412875				140	1.0	0.0013297235237048491	adagrad	20	+accuracy	0.8610781488387862	2821.696	412.0	51	9949	8031	1493	3513	0.3174301514598897	0	0.7860429447852759	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.4997764109146027	10000
5	131	0.6779141104294478	0.6068790441467649	True	single_id	['@@NULL@@']	snli	139	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['tanh', 'linear']	['0.056252248053514586', '0.0']	[89, 2]	166.0	2.0	tanh	0.4630135783361973	424.0	209.0	1.0						relu	0.05384762142895433	83.0	418.0	2.0	dam	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	209.0	False	embedding	decomposable_attention	2814.5440000000003	9949	8571	3983	3549	0.6867356538099718	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.6005387867198271	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	9.68906645998914				140	1.0	4.6435981751705246e-05	adagrad	20	+accuracy	0.7114341413798949	2814.5440000000003	1006.0	139	9949	10	1279	3549	0.5547588940073804	0	0.6771472392638037	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.606412030401684	10000
6	59	0.7814417177914108	0.6913216497216906	True	single_id	['@@NULL@@']	snli	78	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['relu', 'relu', 'relu', 'linear']	['0.12899843328060573', '0.12899843328060573', '0.12899843328060573', '0.0']	[265, 265, 265, 2]	974.0	4.0	tanh	0.3130979286677425	117.0	184.0	3.0						relu	0.26400938096878784	487.0	368.0	3.0	dam	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	184.0	False	embedding	decomposable_attention	2821.616	9949	8571	1493	3795	0.7751646284101599	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.7051996378337636	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	6.59714322257234				140	1.0	0.02421609940689793	adagrad	20	+accuracy	0.9546109510086456	2821.616	630.0	78	9949	10	1493	3795	0.11828681009854405	0	0.7691717791411042	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.8483092671348935	10000
7	40	0.7745398773006135	0.4823879620858601	True	single_id	['@@NULL@@']	snli	59	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['tanh', 'linear']	['0.07666085303856846', '0.0']	[243, 2]	264.0	2.0	tanh	0.008105382888678347	69.0	173.0	1.0						relu	0.3717518706329048	132.0	346.0	1.0	dam	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	173.0	False	embedding	decomposable_attention	2814.216	9949	10961	3027	1125	0.7939793038570084	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.4779998480397112	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	9.452834982360313				140	1.0	0.0006625021428829474	adagrad	20	+accuracy	0.8687913205628073	2814.216	404.0	59	9949	9951	3027	1125	0.3067565921865666	0	0.7707055214723927	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.4935343123617626	10000
8	12	0.5084355828220859	0.7962326577731541	True	single_id	['@@NULL@@']	snli	31	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['tanh', 'tanh', 'linear']	['0.05866601967575946', '0.05866601967575946', '0.0']	[281, 281, 2]	366.0	3.0	tanh	0.29862682702471954	66.0	101.0	2.0						tanh	0.3652468554640895	183.0	202.0	1.0	dam	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	101.0	False	embedding	decomposable_attention	2814.74	9949	10961	3027	1099	0.5625587958607714	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.7328468981911155	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	5.097315738804532				140	1.0	1.6542147816266976e-06	adagrad	20	+accuracy	0.5595439905068655	2814.736	221.0	31	9949	9951	1881	1099	0.7529521758963422	0	0.5061349693251533	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.7869250320252918	10000
9	25	0.799079754601227	0.7521302508456367	True	single_id	['@@NULL@@']	snli	44	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['tanh', 'tanh', 'tanh', 'linear']	['0.4093967191155774', '0.4093967191155774', '0.4093967191155774', '0.0']	[436, 436, 436, 2]	546.0	4.0	tanh	0.011522115022115198	95.0	217.0	1.0						relu	0.14866586107663898	273.0	434.0	3.0	dam	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	217.0	False	embedding	decomposable_attention	2818.9359999999997	9949	10961	1319	1869	0.7916274694261524	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.7433901955099667	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	7.966705267363797				140	1.0	0.0018763813984014133	adagrad	20	+accuracy	0.9444821156128156	2818.9359999999997	342.0	44	9949	9545	1319	1869	0.1542140204954115	0	0.7822085889570553	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.8416569658688137	10000
