Unnamed: 0	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.granularity	dataset_reader.lazy	dataset_reader.token_indexers.elmo.type	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.type	embedding	epoch	evaluate_on_test	iterator.batch_size	iterator.type	model.dropout	model.encoder.aggregations	model.encoder.architecture.bidirectional	model.encoder.architecture.hidden_size	model.encoder.architecture.input_size	model.encoder.architecture.num_layers	model.encoder.architecture.type	model.encoder.type	model.input_embedder.token_embedders.elmo.do_layer_norm	model.input_embedder.token_embedders.elmo.dropout	model.input_embedder.token_embedders.elmo.options_file	model.input_embedder.token_embedders.elmo.requires_grad	model.input_embedder.token_embedders.elmo.type	model.input_embedder.token_embedders.elmo.weight_file	model.input_embedder.token_embedders.tokens.embedding_dim	model.input_embedder.token_embedders.tokens.pretrained_file	model.input_embedder.token_embedders.tokens.trainable	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	test_accuracy	test_data_path	test_loss	train_data_path	trainer.cuda_device	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_dataset_reader.granularity	validation_dataset_reader.lazy	validation_dataset_reader.token_indexers.elmo.type	validation_dataset_reader.token_indexers.tokens.lowercase_tokens	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.type	validation_loss	vocabulary.max_vocab_size	dataset_reader.sample
0	10	0.5194954128440367	0.6909277992589133	2-class	False		True	single_id	sst_tokens	glove	19	True	64	basic	0.0	['attention meanpool maxpool']	True	73	50	1	lstm	seq2seq							50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2535.856	1041	599	1217	649	0.5068643602416255	/home/suching/reproducibility/data/sst/test.txt	0.6917562012014717	/home/suching/reproducibility/data/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	5.921231161217569e-06	adam	10	+accuracy	0.5280346820809249	2535.856	82.0	19	1041	599	1217	649	0.6884350432168453	0	0.518348623853211	/home/suching/reproducibility/data/sst/dev.txt	2-class	False		True	single_id	sst_tokens	0.6903675368853978	10000	6919
1	8	0.7775229357798165	0.9053513152258736	2-class	False		True	single_id	sst_tokens	glove	17	True	64	basic	0.2	['attention meanpool final_state']	True	336	50	3	lstm	seq2seq							50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2568.724	765	757	697	1027	0.7913234486545854	/home/suching/reproducibility/data/sst/test.txt	0.8323679350573441	/home/suching/reproducibility/data/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	0.02282602695548492	adam	10	+accuracy	0.9984104046242774	2568.724	129.0	17	765	757	0	1027	0.007212092954699599	0	0.7649082568807339	/home/suching/reproducibility/data/sst/dev.txt	2-class	False		True	single_id	sst_tokens	1.8188365186963762	10000	6919
2	6	0.8096330275229358	0.6049313481364932	2-class	False		True	single_id	sst_tokens	glove	15	True	64	basic	0.1	['meanpool attention maxpool final_state']	True	217	50	2	lstm	seq2seq							50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2564.536	1207	809	857	777	0.8193300384404174	/home/suching/reproducibility/data/sst/test.txt	0.5099783354792101	/home/suching/reproducibility/data/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	0.0007540131681110864	adam	10	+accuracy	0.9934971098265896	2564.536	91.0	15	1207	10	857	693	0.02540153214161139	0	0.7947247706422018	/home/suching/reproducibility/data/sst/dev.txt	2-class	False		True	single_id	sst_tokens	1.406848098550524	10000	6919
3	23	0.5447247706422018	0.6830518628869738	2-class	False		True	single_id	sst_tokens	glove	32	True	64	basic	0.1	['meanpool']	True	234	50	1	lstm	seq2seq							50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2536.908	947	1323	659	947	0.5260845689181768	/home/suching/reproducibility/data/sst/test.txt	0.6841224062031713	/home/suching/reproducibility/data/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	6.25852938915418e-06	adam	10	+accuracy	0.5560693641618497	2536.908	138.0	32	733	1323	659	135	0.6811211366172231	0	0.5447247706422018	/home/suching/reproducibility/data/sst/dev.txt	2-class	False		True	single_id	sst_tokens	0.6829900869301387	10000	6919
4	16	0.7694954128440367	0.4792471144880568	2-class	False		True	single_id	sst_tokens	glove	25	True	64	basic	0.3	['maxpool meanpool final_state']	True	85	50	3	lstm	seq2seq							50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2538.236	1165	729	1217	667	0.7644151565074135	/home/suching/reproducibility/data/sst/test.txt	0.4714144334710878	/home/suching/reproducibility/data/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	0.00012052323497639806	adam	10	+accuracy	0.8063583815028902	2538.236	168.0	25	651	729	1039	667	0.4174319727158328	0	0.7694954128440367	/home/suching/reproducibility/data/sst/dev.txt	2-class	False		True	single_id	sst_tokens	0.4805913737842015	10000	6919
5	12	0.7006880733944955	0.5814438738993236	2-class	False		True	single_id	sst_tokens	glove	21	True	64	basic	0.0	['final_state attention meanpool maxpool']	True	282	50	2	lstm	seq2seq							50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2553.876	765	795	697	1027	0.6930258099945085	/home/suching/reproducibility/data/sst/test.txt	0.5880676322969897	/home/suching/reproducibility/data/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	9.83708491894008e-06	adam	10	+accuracy	0.7004335260115607	2553.876	127.0	21	0	795	0	0	0.5856465445745975	0	0.6983944954128439	/home/suching/reproducibility/data/sst/dev.txt	2-class	False		True	single_id	sst_tokens	0.5795660998140063	10000	6919
6	21	0.7465596330275229	0.8751968826566424	2-class	False		True	single_id	sst_tokens	glove	30	True	64	basic	0.1	['final_state maxpool meanpool']	True	450	50	3	lstm	seq2seq							50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2577.824	1647	993	1725	1189	0.7682591982427238	/home/suching/reproducibility/data/sst/test.txt	0.7637209532589748	/home/suching/reproducibility/data/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	0.011222240866304951	adam	10	+accuracy	0.9786127167630058	2577.824	262.0	30	881	719	1725	623	0.06242750257834656	0	0.7373853211009175	/home/suching/reproducibility/data/sst/dev.txt	2-class	False		True	single_id	sst_tokens	1.0572416101183209	10000	6919
7	19	0.7924311926605505	0.4581077992916107	2-class	False		True	single_id	sst_tokens	glove	28	True	64	basic	0.2	['attention meanpool maxpool final_state']	True	321	50	1	lstm	seq2seq							50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2538.868	1207	809	1367	777	0.7995606809445359	/home/suching/reproducibility/data/sst/test.txt	0.4420568860810378	/home/suching/reproducibility/data/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	0.00017785533502213494	adam	10	+accuracy	0.8527456647398844	2538.868	128.0	28	1207	809	829	777	0.33828773725470274	0	0.7889908256880734	/home/suching/reproducibility/data/sst/dev.txt	2-class	False		True	single_id	sst_tokens	0.4593199512788228	10000	6919
8	1	0.8176605504587156	0.4322594574519566	2-class	False		True	single_id	sst_tokens	glove	10	True	64	basic	0.0	['final_state maxpool meanpool attention']	True	144	50	3	lstm	seq2seq							50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2540.596	849	1601	801	791	0.8182317408017573	/home/suching/reproducibility/data/sst/test.txt	0.3896987962311712	/home/suching/reproducibility/data/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	0.009806476605578771	adam	10	+accuracy	0.9901734104046244	2540.592	75.0	10	849	1601	801	761	0.03227772041642611	0	0.8016055045871558	/home/suching/reproducibility/data/sst/dev.txt	2-class	False		True	single_id	sst_tokens	1.5996422937938146	10000	6919
9	6	0.5412844036697247	0.6882626882621221	2-class	False		True	single_id	sst_tokens	glove	15	True	64	basic	0.3	['meanpool final_state attention']	True	74	50	1	lstm	seq2seq							50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2535.48	765	611	697	961	0.5260845689181768	/home/suching/reproducibility/data/sst/test.txt	0.6886878486337333	/home/suching/reproducibility/data/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	8.846821859737874e-06	adam	10	+accuracy	0.5605491329479769	2535.472	69.0	15	765	605	697	961	0.6850274270827618	0	0.533256880733945	/home/suching/reproducibility/data/sst/dev.txt	2-class	False		True	single_id	sst_tokens	0.6866314496312823	10000	6919
10	15	0.7924311926605505	0.530597101364817	2-class	False		True	single_id	sst_tokens	glove	24	True	64	basic	0.0	['attention meanpool maxpool final_state']	True	338	50	3	lstm	seq2seq							50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2571.736	1273	809	1367	777	0.7852828116419549	/home/suching/reproducibility/data/sst/test.txt	0.4812696000625347	/home/suching/reproducibility/data/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	0.00022380351521201401	adam	10	+accuracy	0.886849710982659	2571.736	185.0	24	1273	709	627	709	0.2612548943506469	0	0.786697247706422	/home/suching/reproducibility/data/sst/dev.txt	2-class	False		True	single_id	sst_tokens	0.5417418969529015	10000	6919
11	22	0.7488532110091743	0.5182594763381141	2-class	False		True	single_id	sst_tokens	glove	31	True	64	basic	0.3	['attention']	True	473	50	2	lstm	seq2seq							50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2570.256	947	1323	705	947	0.7408017572762219	/home/suching/reproducibility/data/sst/test.txt	0.5188556508771305	/home/suching/reproducibility/data/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	3.513982401648105e-05	adam	10	+accuracy	0.7573699421965318	2570.256	214.0	31	765	1323	705	657	0.4996216010063066	0	0.7465596330275229	/home/suching/reproducibility/data/sst/dev.txt	2-class	False		True	single_id	sst_tokens	0.5180944608790534	10000	6919
12	6	0.8199541284403671	0.945535021168845	2-class	False		True	single_id	sst_tokens	glove	15	True	64	basic	0.2	['final_state attention']	True	175	50	3	lstm	seq2seq							50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2546.084	1181	719	1725	643	0.8105436573311368	/home/suching/reproducibility/data/sst/test.txt	0.8469845292897059	/home/suching/reproducibility/data/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	0.002184976126148335	adam	10	+accuracy	0.9998554913294798	2546.084	102.0	15	1181	719	1297	633	0.0007722385851410004	0	0.8038990825688074	/home/suching/reproducibility/data/sst/dev.txt	2-class	False		True	single_id	sst_tokens	1.917972581727164	10000	6919
