dataset_reader.sample	trainer.optimizer.lr	model.encoder.architecture.type	best_validation_accuracy	training_duration
10000	10000	BERT Large	0.563	10000
10000	10000	BERT Large	0.563	10000
10000	10000	BERT Large	0.563	10000
10000	10000	BERT Large	0.563	10000
10000	10000	BERT Large	0.563	10000
10000	10000	BERT Large	0.563	10000
10000	10000	BERT Large	0.563	10000
10000	10000	BERT Large	0.563	10000
10000	10000	BERT Large	0.563	10000
10000	10000	BERT Large	0.563	10000
10000	10000	BERT Large	0.563	10000
10000	10000	BERT Large	0.563	10000
10000	10000	BERT Large	0.563	10000
10000	10000	BERT Large	0.563	10000
10000	10000	BERT Large	0.563	10000
10000	10000	BERT Large	0.563	10000
10000	10000	BERT Large	0.563	10000
10000	10000	BERT Large	0.563	10000
10000	10000	BERT Large	0.563	10000
10000	10000	BERT Large	0.563	10000
10000	10000	BERT Large MNLI	0.563	10000
10000	10000	BERT Large MNLI	0.563	10000
10000	10000	BERT Large MNLI	0.563	10000
10000	10000	BERT Large MNLI	0.563	10000
10000	10000	BERT Large MNLI	0.563	10000
10000	10000	BERT Large MNLI	0.563	10000
10000	10000	BERT Large MNLI	0.563	10000
10000	10000	BERT Large MNLI	0.563	10000
10000	10000	BERT Large MNLI	0.563	10000
10000	10000	BERT Large MNLI	0.563	10000
10000	10000	BERT Large MNLI	0.563	10000
10000	10000	BERT Large MNLI	0.563	10000
10000	10000	BERT Large MNLI	0.563	10000
10000	10000	BERT Large MNLI	0.563	10000
10000	10000	BERT Large MNLI	0.563	10000
10000	10000	BERT Large MNLI	0.563	10000
10000	10000	BERT Large MNLI	0.563	10000
10000	10000	BERT Large MNLI	0.563	10000
10000	10000	BERT Large MNLI	0.563	10000
10000	10000	BERT Large MNLI	0.563	10000
