C	Unnamed: 0	accuracy	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.lazy	dataset_reader.sample	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.word_splitter	dataset_reader.type	epoch	evaluate_on_test	iterator.batch_size	iterator.type	model.dropout	model.encoder.aggregations	model.encoder.architecture.bidirectional	model.encoder.architecture.hidden_size	model.encoder.architecture.input_size	model.encoder.architecture.num_layers	model.encoder.architecture.type	model.encoder.type	model.input_embedder.token_embedders.tokens.embedding_dim	model.input_embedder.token_embedders.tokens.pretrained_file	model.input_embedder.token_embedders.tokens.trainable	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	penalty	random_state	solver	test_data_path	tol	train_data_path	trainer.cuda_device	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_dataset_reader.lazy	validation_dataset_reader.sample	validation_dataset_reader.token_indexers.tokens.lowercase_tokens	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.tokenizer.word_splitter	validation_dataset_reader.type	validation_loss
0.13036237828944724		0.8640000000000001		0.8640000000000001			20000															logistic regression															l1	16543.0	liblinear		0.0002375109873570917														54.83684206008911																				
0.40699885072628256		0.8240000000000001		0.8240000000000001			20000															logistic regression															l2	76983.0	liblinear		0.0007783006944173722														52.90283846855164																				
8.267099128444231		0.8066		0.8066			20000															logistic regression															l1	65783.0	liblinear		0.0004559446277239278														54.774168729782104																				
8.488051054389038		0.8908		0.8908			20000															logistic regression															l2	8777.0	liblinear		0.0001980098479807542														81.92905306816102																				
0.00015263309471999078		0.5		0.5			20000															logistic regression															l1	28978.0	liblinear		0.0016792701105854536														71.92123174667357																				
12.51866136130278		0.8122		0.8122			20000															logistic regression															l1	6056.0	liblinear		0.00017853472632047934														53.5081844329834																				
0.018175827075684683		0.8828		0.8828			20000															logistic regression															l2	16031.0	liblinear		0.00013204055546894088														91.44906902313231																				
0.00668578274094036		0.5		0.5			20000															logistic regression															l1	45829.0	liblinear		0.002381712700341081														27.58406662940979																				
0.0016673986668339015		0.8590000000000001		0.8590000000000001			20000															logistic regression															l2	27135.0	liblinear		0.000531231947377208														35.81974291801453																				
117744.91846539873		0.8959999999999999		0.8959999999999999			20000															logistic regression															l1	56038.0	liblinear		0.0002416532773967519														42.72956371307372																				
1.5548741083856803		0.8912		0.8912			20000															logistic regression															l2	4920.0	liblinear		0.00011775224854670616														47.32577395439148																				
1643.7030933654228		0.8859999999999999		0.8859999999999999			20000															logistic regression															l1	66260.0	liblinear		0.000179591152409546														41.68257761001587																				
299760.15679919074		0.882		0.882			20000															logistic regression															l2	52479.0	liblinear		0.0005482877575401487														87.52183556556702																				
82857.00181522395		0.8252		0.8252			20000															logistic regression															l1	53651.0	liblinear		0.0008717968198063223														32.799353837966926																				
85.26683238903334		0.8422		0.8422			20000															logistic regression															l1	59731.0	liblinear		0.002258198144089763														48.00452089309693																				
292919.8347397637		0.8962		0.8962			20000															logistic regression															l2	23001.0	liblinear		0.003303934745382361														34.11174750328064																				
0.0012451427943837494		0.7872		0.7872			20000															logistic regression															l2	41709.0	liblinear		0.000332906871703863														81.98828697204591																				
5.860468625344533		0.8804		0.8804			20000															logistic regression															l1	56952.0	liblinear		0.004553007413794732														28.098206758499146																				
0.0029420841534937925		0.5		0.5			20000															logistic regression															l1	76734.0	liblinear		0.00014326677427001726														43.741175174713135																				
0.2030692957390708		0.8916		0.8916			20000															logistic regression															l2	17593.0	liblinear		0.0015312843099156948														42.793967247009284																				
0.8333140999236821		0.8424		0.8424			20000															logistic regression															l1	17212.0	liblinear		0.000378877076123596														31.77405548095703																				
