	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.lazy	dataset_reader.sample	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.word_splitter	dataset_reader.type	epoch	iterator.batch_size	iterator.type	model.dropout	model.encoder	model.encoder.aggregations	model.encoder.architecture.averaged	model.encoder.architecture.bidirectional	model.encoder.architecture.embedding_dim	model.encoder.architecture.hidden_size	model.encoder.architecture.input_size	model.encoder.architecture.ngram_filter_sizes	model.encoder.architecture.num_filters	model.encoder.architecture.num_layers	model.encoder.architecture.output_dim	model.encoder.architecture.type	model.encoder.type	model.input_embedder.token_embedders.tokens.embedding_dim	model.input_embedder.token_embedders.tokens.trainable	model.input_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	train_data_path	trainer.cuda_device	trainer.num_epochs	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_dataset_reader.lazy	validation_dataset_reader.sample	validation_dataset_reader.token_indexers.tokens.lowercase_tokens	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.tokenizer.word_splitter	validation_dataset_reader.type	validation_loss
0	1	0.2742960944595822	1.823762505395072	False		True	single_id	just_spaces	semisupervised_text_classification_json	5	32	basic	0.0		attention		True		380.0	300.0			1.0		lstm	seq2seq	300.0	True	embedding	classifier	2560.248	775	687	749	687	733	835	749	801	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0481	adam	5	+accuracy	0.24075374531835206	2560.248	00:01:02	5	717	0	749	687	733	835	749	687	2.020964647053779	0	0.24341507720254316	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	2.0687447479793004
1	2	0.3496821071752952	6.745704426084246	False		True	single_id	just_spaces	semisupervised_text_classification_json	6	32	basic	0.0			True		300.0							boe	seq2vec	300.0	True	embedding	classifier	2549.684	687	687	687	1259	1097	739	939	829	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0851	adam	5	+accuracy	0.8691479400749064	2549.672	00:00:38	6	687	687	687	1259	1097	0	929	829	1.5657226989108526	0	0.33424159854677565	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	18.910694585527693
2	3	0.36966394187102636	3.4423737968717303	False		True	single_id	just_spaces	semisupervised_text_classification_json	7	32	basic	0.0			True		300.0							boe	seq2vec	300.0	True	embedding	classifier	2553.728	1289	829	775	867	797	699	785	687	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0311	adam	5	+accuracy	0.9667602996254682	2553.716	00:00:42	7	1237	497	775	867	797	699	785	687	0.12401506755403365	0	0.33242506811989103	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	6.540048245021275
3	4	0.2706630336058129	7.41590894971575	False		True	single_id	just_spaces	semisupervised_text_classification_json	8	32	basic	0.1		maxpool		True		431.0	300.0			1.0		lstm	seq2seq	300.0	True	embedding	classifier	2564.236	729	949	817	1195	831	1067	855	883	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0952	adam	5	+accuracy	0.25491573033707865	2564.236	00:01:28	8	729	949	817	781	829	1067	855	883	6.941753076703361	0	0.24977293369663942	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	6.158721773965018
4	1	0.36693914623069934	3.5361265182495116	False		True	single_id	just_spaces	semisupervised_text_classification_json	5	32	basic	0.2			True		300.0							boe	seq2vec	300.0	True	embedding	classifier	2556.66	815	1059	687	1009	687	909	759	701	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0691	adam	5	+accuracy	0.8517088014981273	2556.66	00:00:30	5	815	1059	687	1009	687	909	759	701	1.3271922136513927	0	0.33605812897366033	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	12.498455197470529
5	0	0.26430517711171664	1241.4075578962054	False		True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.2					300.0			[1, 2, 3, 4, 5, 6]	146		143.0	cnn	seq2vec	300.0	True	embedding	classifier	2558.86	729	1319	745	687	687	785	827	711	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0637	adam	5	+accuracy	0.26392790262172283	2558.86	00:00:36	4	729	1319	745	687	687	785	407	711	4019.0625198307107	0	0.22888283378746593	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	21207.172921316964
6	0	0.26975476839237056	1.619584264074053	False		True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.3		maxpool		True		494.0	300.0			2.0		lstm	seq2seq	300.0	True	embedding	classifier	2625.204	703	1087	687	1259	1097	739	1019	829	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.023	adam	5	+accuracy	0.23338014981273408	2625.204	00:01:12	4	687	687	687	1259	1097	0	0	829	1.93870767493373	0	0.2652134423251589	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.9217968838555473
7	9	0.2761126248864669	1.8151179143360683	False		True	single_id	just_spaces	semisupervised_text_classification_json	13	32	basic	0.0		final_state		True		279.0	300.0			2.0		lstm	seq2seq	300.0	True	embedding	classifier	2563.724	1219	791	779	931	987	949	795	731	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.046	adam	5	+accuracy	0.336376404494382	2563.716	00:02:44	13	1219	713	717	931	987	949	795	687	1.5708289583970545	0	0.26430517711171664	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.700221392086574
8	0	0.3642143505903724	1.5720134326389859	False		True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.2			True		300.0							boe	seq2vec	300.0	True	embedding	classifier	2551.992	827	687	701	795	749	701	723	733	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0398	adam	5	+accuracy	0.8858848314606742	2551.992	00:00:22	4	737	687	701	795	749	10	723	733	0.45834328047233575	0	0.35967302452316074	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	5.074746186392648
9	1	0.259763851044505	495.6444290161133	False		True	single_id	just_spaces	semisupervised_text_classification_json	5	32	basic	0.3					300.0			[1, 2, 3, 4, 5, 6, 7, 8, 9]	359		346.0	cnn	seq2vec	300.0	True	embedding	classifier	2559.92	917	857	787	879	907	747	885	837	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0241	adam	5	+accuracy	0.4614934456928839	2559.92	00:00:57	5	687	697	787	869	907	733	885	687	403.2213406794973	0	0.2579473206176203	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	822.7991049630301
