Unnamed: 0	best_epoch	best_validation_accuracy	best_validation_accuracy3	best_validation_loss	dataset_reader.granularity	dataset_reader.token_indexers.tokens.type	dataset_reader.type	dataset_reader.use_subtrees	epoch	evaluate_on_test	iterator.batch_size	iterator.sorting_keys	iterator.type	model.embedding_dropout	model.encoder.bidirectional	model.encoder.hidden_size	model.encoder.input_size	model.encoder.num_layers	model.encoder.type	model.integrator.bidirectional	model.integrator.hidden_size	model.integrator.input_size	model.integrator.num_layers	model.integrator.type	model.integrator_dropout	model.output_layer.dropout	model.output_layer.input_dim	model.output_layer.num_layers	model.output_layer.output_dims	model.output_layer.pool_sizes	model.pre_encode_feedforward.activations	model.pre_encode_feedforward.dropout	model.pre_encode_feedforward.hidden_dims	model.pre_encode_feedforward.input_dim	model.pre_encode_feedforward.num_layers	model.text_field_embedder.token_embedders.tokens.embedding_dim	model.text_field_embedder.token_embedders.tokens.pretrained_file	model.text_field_embedder.token_embedders.tokens.trainable	model.text_field_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	test_accuracy	test_accuracy3	test_data_path	test_loss	train_data_path	trainer.cuda_device	trainer.grad_norm	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_accuracy3	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_accuracy3	validation_data_path	validation_dataset_reader.granularity	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.type	validation_dataset_reader.use_subtrees	validation_loss	embedding
0	10	0.8612385321100917	1.0	0.35396513236420496	2-class	single_id	sst_tokens	True	19	True	64	[['tokens', 'num_tokens']]	bucket	0.4	True	348	336	2	lstm	True	301	2088	2	lstm	0.3	[0.2, 0]	2408	2	[483, 2]	3	relu	0.0	[336, 336, 336]	300	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	2890.052	3072	4901	2031	2423	0.8802855573860516	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.2954585475140604	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	8	0.5	2	reduce_on_plateau	50	1	9.493345353805902e-05	adam	10	+accuracy	0.9469704637933478	1.0	2890.052	1650.0	19	2888	3100	2031	2423	0.13742552980010933	0	0.8589449541284404	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	single_id	sst_tokens	False	0.3701419266206877	glove
1	2	0.856651376146789	1.0	0.3654527579035078	2-class	single_id	sst_tokens	True	11	True	64	[['tokens', 'num_tokens']]	bucket	0.0	True	294	201	2	lstm	True	306	1764	3	lstm	0.0	[0.1, 0.1, 0.1, 0]	2448	4	[402, 402, 402, 2]	6	tanh	0.0	[201, 201, 201]	300	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	2889.808	2774	5168	4048	4650	0.8725974739154311	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.3113815080502937	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	6	0.5	2	reduce_on_plateau	50	1	0.00037248678969044975	adam	10	+accuracy	0.9886835232908882	1.0	2889.808	1142.0	11	1136	5168	4046	4650	0.027466599811097715	0	0.8211009174311926	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	single_id	sst_tokens	False	1.0402990111282893	glove
2	8	0.8165137614678899	1.0	0.4974444210529328	2-class	single_id	sst_tokens	True	17	True	64	[['tokens', 'num_tokens']]	bucket	0.1	True	404	113	2	lstm	True	329	2424	3	lstm	0.2	[0, 0]	2632	2	[425, 2]	4	tanh	0.3	[113, 113, 113]	300	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	2931.6679999999997	1806	5450	2069	2107	0.8066996155958265	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.4787874180695106	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	5	0.5	2	reduce_on_plateau	50	1	0.0034785623180392925	adam	10	+accuracy	0.9729740672510476	1.0	2931.6679999999997	1674.0	17	1806	5306	1017	2107	0.0714193477423215	0	0.8061926605504587	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	single_id	sst_tokens	False	0.7921790821211678	glove
3	2	0.5091743119266054	1.0	1106.986855643136	2-class	single_id	sst_tokens	True	11	True	64	[['tokens', 'num_tokens']]	bucket	0.4	True	245	322	3	lstm	True	448	1470	3	lstm	0.1	[0, 0]	3584	2	[147, 2]	4	tanh	0.4	[322, 322, 322]	300	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	2955.216	3250	4304	2263	1429	0.499176276771005	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	1106.5119713092672	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	8	0.5	2	reduce_on_plateau	50	1	0.06848473877071015	adam	10	+accuracy	0.4998279247727595	1.0	2955.216	1119.0	11	3250	3296	2031	1429	15.819785935968316	0	0.5091743119266054	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	single_id	sst_tokens	False	2.1565050397600447	glove
4	0	0.5091743119266054	1.0	769.403302873884	2-class	single_id	sst_tokens	True	9	True	64	[['tokens', 'num_tokens']]	bucket	0.4	True	301	299	2	lstm	True	79	1806	1	lstm	0.4	[0, 0, 0]	632	3	[372, 372, 2]	4	relu	0.2	[299, 299, 299]	300	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	2826.072	2994	5966	977	1345	0.499176276771005	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	785.8473763301456	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	9	0.5	2	reduce_on_plateau	50	1	0.06868772018405647	adam	10	+accuracy	0.5009312306415369	1.0	2826.072	685.0	9	2994	5334	977	1345	13.520608936180725	0	0.5091743119266054	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	single_id	sst_tokens	False	2.556047252246312	glove
5	8	0.8761467889908257	1.0	0.3680915204542024	2-class	single_id	sst_tokens	True	17	True	64	[['tokens', 'num_tokens']]	bucket	0.3	True	424	232	2	lstm	True	337	2544	3	lstm	0.1	[0.2, 0.2, 0.2, 0]	2696	4	[384, 384, 384, 2]	6	tanh	0.0	[232, 232, 232]	300	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	2931.744	2367	5678	2939	1962	0.8857770455793521	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.2935560972526156	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	9	0.5	2	reduce_on_plateau	50	1	0.00013543791114210382	adam	10	+accuracy	0.9619511306354636	1.0	2931.744	1624.0	17	1642	5222	2939	1183	0.09965472319103064	0	0.8623853211009175	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	single_id	sst_tokens	False	0.3811383609260832	glove
6	21	0.8279816513761468	1.0	0.4077903096164976	2-class	single_id	sst_tokens	True	30	True	64	[['tokens', 'num_tokens']]	bucket	0.4	True	254	71	1	lstm	True	387	1524	2	lstm	0.4	[0.2, 0.2, 0.2, 0]	3096	4	[321, 321, 321, 2]	6	tanh	0.4	[71, 71, 71]	300	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	2875.116	3256	4314	2263	2816	0.8347062053816584	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.3813559757224445	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	6	0.5	2	reduce_on_plateau	50	1	0.007576673349776477	adam	10	+accuracy	0.9365953397979634	1.0	2875.116	2247.0	30	3256	4314	2263	2423	0.17105035377676006	0	0.8233944954128442	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	single_id	sst_tokens	False	0.4365077891520092	glove
7	18	0.7557339449541285	1.0	0.5480156860181263	2-class	single_id	sst_tokens	True	27	True	64	[['tokens', 'num_tokens']]	bucket	0.1	True	426	170	1	lstm	True	162	2556	3	lstm	0.3	[0, 0, 0]	1296	3	[335, 335, 2]	6	relu	0.4	[170, 170, 170]	300	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	2834.664	2982	5534	1415	1861	0.7605711147721033	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.5580247537843113	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	7	0.5	2	reduce_on_plateau	50	1	1.7466659723660217e-06	adam	10	+accuracy	0.8144016843128126	1.0	2834.664	2038.0	27	2982	3900	1415	1861	0.4117924132012796	0	0.7522935779816514	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	single_id	sst_tokens	False	0.5500760121004922	glove
8	11	0.8486238532110092	1.0	0.3695216093744551	2-class	single_id	sst_tokens	True	20	True	64	[['tokens', 'num_tokens']]	bucket	0.3	True	206	469	1	lstm	True	259	1236	1	lstm	0.4	[0.4, 0.4, 0]	2072	3	[508, 508, 2]	5	relu	0.0	[469, 469, 469]	300	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	2839.312	3108	4732	2069	1861	0.8747940691927513	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.3003902949135879	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	9	0.5	2	reduce_on_plateau	50	1	2.4987122264167496e-05	adam	10	+accuracy	0.9239832378484524	1.0	2839.312	1324.0	20	3108	3742	2069	1861	0.19137218766339084	0	0.8451834862385321	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	single_id	sst_tokens	False	0.3641234870467867	glove
9	4	0.8681192660550459	1.0	0.3707908892205784	2-class	single_id	sst_tokens	True	13	True	64	[['tokens', 'num_tokens']]	bucket	0.2	True	266	178	2	lstm	True	292	1596	1	lstm	0.1	[0.4, 0]	2336	2	[303, 2]	4	tanh	0.3	[178, 178, 178]	300	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	2834.948	1964	5000	2603	2001	0.8791872597473915	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.3229818513681149	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	9	0.5	2	reduce_on_plateau	50	1	0.00017092014837098176	adam	10	+accuracy	0.9664149644715266	1.0	2834.948	869.0	13	1964	4858	2427	1807	0.09015919161849496	0	0.856651376146789	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	single_id	sst_tokens	False	0.4581653188381876	glove
