	best_epoch	best_validation_accuracy	best_validation_accuracy3	best_validation_f1-measure-overall	best_validation_loss	best_validation_precision-overall	best_validation_recall-overall	dataset_reader.coding_scheme	dataset_reader.tag_label	dataset_reader.token_indexers.elmo.type	dataset_reader.token_indexers.token_characters.min_padding_length	dataset_reader.token_indexers.token_characters.type	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.type	epoch	evaluate_on_test	iterator.batch_size	iterator.type	model.dropout	model.encoder.bidirectional	model.encoder.dropout	model.encoder.hidden_size	model.encoder.input_size	model.encoder.num_layers	model.encoder.type	model.include_start_end_transitions	model.label_encoding	model.regularizer	model.text_field_embedder.token_embedders.elmo.do_layer_norm	model.text_field_embedder.token_embedders.elmo.dropout	model.text_field_embedder.token_embedders.elmo.options_file	model.text_field_embedder.token_embedders.elmo.type	model.text_field_embedder.token_embedders.elmo.weight_file	model.text_field_embedder.token_embedders.token_characters.embedding.embedding_dim	model.text_field_embedder.token_embedders.token_characters.encoder.conv_layer_activation	model.text_field_embedder.token_embedders.token_characters.encoder.embedding_dim	model.text_field_embedder.token_embedders.token_characters.encoder.ngram_filter_sizes	model.text_field_embedder.token_embedders.token_characters.encoder.num_filters	model.text_field_embedder.token_embedders.token_characters.encoder.type	model.text_field_embedder.token_embedders.token_characters.type	model.text_field_embedder.token_embedders.tokens.embedding_dim	model.text_field_embedder.token_embedders.tokens.pretrained_file	model.text_field_embedder.token_embedders.tokens.trainable	model.text_field_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	test_accuracy	test_accuracy3	test_data_path	test_f1-measure-overall	test_loss	test_precision-overall	test_recall-overall	train_data_path	trainer.cuda_device	trainer.grad_norm	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_accuracy3	training_cpu_memory_MB	training_duration	training_epochs	training_f1-measure-overall	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_loss	training_precision-overall	training_recall-overall	training_start_epoch	validation_accuracy	validation_accuracy3	validation_data_path	validation_f1-measure-overall	validation_loss	validation_precision-overall	validation_recall-overall
0	13	0.9922121412717573	0.9931856236127876	0.9623466128760637	42.33005948160209	0.9612155809267965	0.9634803096600472	BIOUL	ner	elmo_characters	3	characters	True	single_id	conll2003	37	True	64	basic	0.3870105499239693	True	0.24068045681353278	271	1190	2	lstm	False	BIOUL	[['scalar_parameters', {'alpha': '0.005990368208987876', 'type': 'l2'}]]	False	0.4725043403334286	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	41	relu	41	[1, 2, 3, 4]	29	cnn	character_encoding	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	embedding	crf_tagger	3262.996	10	10	5721	10	0.9828362226768601	0.9848605577689243	s3://suching-dev/ner-2003/test.txt	0.9268680445150533	92.23746868416116	0.9247444483609447	0.9290014164305949	s3://suching-dev/ner-2003/train.txt	0	6.760355034325111	0.5	2	reduce_on_plateau	75	1	0.0017581930524098754	adam	25	+f1-measure-overall	0.9991160047342857	0.9992044042608572	3262.996	4819.0	37	0.995020640932835	10	10	5721	10	2.183578345746818	0.9951053415620345	0.9949359547214776	0	0.9921342626844749	0.9930882753786846	s3://suching-dev/ner-2003/dev.txt	0.9619231739093389	45.719427594951554	0.9608732157850546	0.9629754291484349
1	12	0.9919590358630894	0.992971457497761	0.9613733905578901	59.11001353170357	0.9614543006227908	0.9612924941097274	BIOUL	ner	elmo_characters	3	characters	True	single_id	conll2003	36	True	64	basic	0.24849205910758365	True	0.1701485740490346	381	1215	2	lstm	False	BIOUL	[['scalar_parameters', {'alpha': '0.001321675709291534', 'type': 'l2'}]]	False	0.18791737192627678	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	53	relu	53	[1, 2, 3]	47	cnn	character_encoding	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	embedding	crf_tagger	3252.692	10	10	5751	10	0.9830085065144826	0.9850974480456552	s3://suching-dev/ner-2003/test.txt	0.9277620396600067	117.96556156652944	0.9277620396600567	0.9277620396600567	s3://suching-dev/ner-2003/train.txt	0	7.043509837204654	0.5	2	reduce_on_plateau	75	1	0.0017699773517041663	adam	25	+f1-measure-overall	0.999906689388619	0.9999263337278571	3252.692	4664.0	36	0.9994679832307815	10	10	5751	10	0.1948974774780006	0.9996168908564618	0.9993191199625516	0	0.9918811572758071	0.9929130485572991	s3://suching-dev/ner-2003/dev.txt	0.9608271687961841	61.868031670065484	0.9598589183742022	0.9617973746213396
2	7	0.9893501031891282	0.9902457069428761	0.9492723142928752	46.73440532123341	0.9490328006728344	0.9495119488387749	BIOUL	ner	elmo_characters	3	characters	True	single_id	conll2003	31	True	64	basic	0.00693472645008425	True	0.15686452779027432	344	1198	2	lstm	False	BIOUL	[['scalar_parameters', {'alpha': '0.5978296891072613', 'type': 'l2'}]]	False	0.40437141569881624	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	40	relu	40	[1, 2, 3, 4]	31	cnn	character_encoding	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	embedding	crf_tagger	3267.808	10	10	5739	10	0.9775815656293744	0.9798212555184667	s3://suching-dev/ner-2003/test.txt	0.8988347457626619	93.82840508001821	0.8963028169014085	0.9013810198300283	s3://suching-dev/ner-2003/train.txt	0	8.575236895661014	0.5	2	reduce_on_plateau	75	1	0.010233071497290582	adam	25	+f1-measure-overall	0.9999558002367143	0.9999754445759523	3267.808	4024.0000000000005	31	0.9997446591198752	10	10	5739	10	0.10107994183093648	0.9997872068774737	0.9997021149836163	0	0.9886686655504069	0.9901288890619524	s3://suching-dev/ner-2003/dev.txt	0.9464660895873103	55.986293848823095	0.9452744670135974	0.9476607202961965
3	29	0.9730929480939216	0.9759355165297301	0.866379674179067	105.81142116995419	0.8690939881456393	0.863682261864692	BIOUL	ner	elmo_characters	3	characters	True	single_id	conll2003	53	True	64	basic	0.4731920995448254	True	0.4372318171606824	114	1354	2	lstm	False	BIOUL	[['scalar_parameters', {'alpha': '0.0038224501864324145', 'type': 'l2'}]]	False	0.2030873390150097	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	24	relu	24	[1, 2, 3, 4, 5]	56	cnn	character_encoding	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	embedding	crf_tagger	3226.064	10	10	5695	10	0.9687950899106278	0.9723269085818886	s3://suching-dev/ner-2003/test.txt	0.8493150684931007	104.4154596681948	0.8478913005117346	0.8507436260623229	s3://suching-dev/ner-2003/train.txt	0	9.369426369677104	0.5	2	reduce_on_plateau	75	1	6.156077159309908e-05	adam	25	+f1-measure-overall	0.9645370565904302	0.9681614371798587	3226.064	6843.0	53	0.8237948894285032	10	10	5695	10	131.51040607799183	0.8321465786731504	0.8156091748585046	0	0.9730929480939216	0.9759355165297301	s3://suching-dev/ner-2003/dev.txt	0.866379674179067	105.67214941510967	0.8690939881456393	0.863682261864692
4	2	0.5822981971107044	0.5978933842140104	0.04343340048146016	2680.7314118030026	0.030671015196724723	0.07438572871087176	BIOUL	ner	elmo_characters	3	characters	True	single_id	conll2003	26	True	64	basic	0.007950310363714075	True	0.18803904917567388	190	1167	3	lstm	False	BIOUL	[['scalar_parameters', {'alpha': '0.2586076352732973', 'type': 'l2'}]]	False	0.4962948877671838	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	44	relu	44	[1, 2, 3]	31	cnn	character_encoding	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	embedding	crf_tagger	3225.556	10	10	5721	10	0.5546032087864757	0.5771508560353182	s3://suching-dev/ner-2003/test.txt	0.04251913361008401	2293.5436570909287	0.029631178972320992	0.07524787535410765	s3://suching-dev/ner-2003/train.txt	0	6.71141404896653	0.5	2	reduce_on_plateau	75	1	1.1575971819436394e-06	adam	25	+f1-measure-overall	0.832811939829389	0.8572200313327211	3225.556	3449.0	26	0.0	10	10	5721	10	846.5051478992809	0.0	0.0	0	0.8325026284023208	0.8500253105408668	s3://suching-dev/ner-2003/dev.txt	0.0	933.5038577809054	0.0	0.0
5	4	0.6557571745648534	0.6732798567033994	0.02966449564879854	2280.9340054381128	0.021980695920188174	0.04560753954897341	BIOUL	ner	elmo_characters	3	characters	True	single_id	conll2003	28	True	64	basic	0.4900853679874893	True	0.09010427810803989	124	1194	1	lstm	False	BIOUL	[['scalar_parameters', {'alpha': '0.6054651757674654', 'type': 'l2'}]]	False	0.11452498073121609	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	59	relu	59	[1, 2, 3, 4]	30	cnn	character_encoding	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	embedding	crf_tagger	3218.232	10	10	5691	10	0.6601270593302466	0.685065144826101	s3://suching-dev/ner-2003/test.txt	0.027502004069757894	1947.18391361943	0.021099441763648405	0.03948300283286119	s3://suching-dev/ner-2003/train.txt	0	9.104679302881216	0.5	2	reduce_on_plateau	75	1	2.038373391676698e-06	adam	25	+f1-measure-overall	0.8229603037014847	0.8473683952048168	3218.232	3543.0	28	0.005658340468280216	10	10	5691	10	1556.152715509588	0.022592152199762187	0.0032341801778799097	0	0.8325026284023208	0.8500253105408668	s3://suching-dev/ner-2003/dev.txt	0.0	1336.141404095818	0.0	0.0
6	39	0.9507417935438651	0.9553755694871695	0.7561701382810633	113.249179279103	0.787746170678337	0.7270279367216426	BIOUL	ner	elmo_characters	3	characters	True	single_id	conll2003	63	True	64	basic	0.401028351108835	True	0.34295993936086494	196	1278	1	lstm	False	BIOUL	[['scalar_parameters', {'alpha': '0.007169144026802362', 'type': 'l2'}]]	False	0.12821843157699242	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	53	relu	53	[1, 2, 3, 4]	51	cnn	character_encoding	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	embedding	crf_tagger	3261.168	10	10	5699	10	0.9420049531603316	0.9468935070528696	s3://suching-dev/ner-2003/test.txt	0.7282786141846045	115.20596278155291	0.7465600595016735	0.710871104815864	s3://suching-dev/ner-2003/train.txt	0	5.14864824030094	0.5	2	reduce_on_plateau	75	1	0.09408859094962824	adam	25	+f1-measure-overall	0.9277432091974797	0.9349968814611459	3261.168	7772.000000000001	63	0.6407762648958744	10	10	5699	10	153.5826199618253	0.6750518183531186	0.6098131835397251	0	0.9506639149565826	0.9553366301935283	s3://suching-dev/ner-2003/dev.txt	0.754746835442988	113.83017611036114	0.7900257637099742	0.7224840121171323
7	2	0.713543086328414	0.7303648611814182	0.05067907444663328	2287.9712524414062	0.040453724151776754	0.06782228205991249	BIOUL	ner	elmo_characters	3	characters	True	single_id	conll2003	26	True	64	basic	0.3707184357801909	True	0.15561562042966404	295	1189	1	lstm	False	BIOUL	[['scalar_parameters', {'alpha': '0.059447937619746316', 'type': 'l2'}]]	False	0.38650265432851144	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	40	relu	40	[1, 2, 3, 4, 5]	23	cnn	character_encoding	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	embedding	crf_tagger	3247.268	10	10	5709	10	0.6889846021320125	0.713233552277377	s3://suching-dev/ner-2003/test.txt	0.051091675580398406	1962.73243882921	0.039629087359687655	0.07188385269121814	s3://suching-dev/ner-2003/train.txt	0	9.90418069862482	0.5	2	reduce_on_plateau	75	1	1.8698434846491545e-06	adam	25	+f1-measure-overall	0.8327824733205318	0.8571905648238639	3247.268	3439.0	26	0.00016969285593014784	10	10	5709	10	713.5200507424095	0.027397260273972567	8.511000468105026e-05	0	0.8325026284023208	0.8500253105408668	s3://suching-dev/ner-2003/dev.txt	0.0	878.615857891008	0.0	0.0
8	35	0.8339823215606869	0.8515050036992329	0.01366438926845331	620.1619591806449	0.694915254237287	0.006900033658700774	BIOUL	ner	elmo_characters	3	characters	True	single_id	conll2003	59	True	64	basic	0.4509680855426258	True	0.07851919172764343	102	1344	3	lstm	False	BIOUL	[['scalar_parameters', {'alpha': '0.04302337713689261', 'type': 'l2'}]]	False	0.2687516213512359	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	25	relu	25	[1, 2, 3, 4, 5]	54	cnn	character_encoding	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	embedding	crf_tagger	3221.844	10	10	5697	10	0.8275223430601917	0.8521804673199096	s3://suching-dev/ner-2003/test.txt	0.017794836008371152	545.6454772949219	0.6071428571428564	0.009029745042492918	s3://suching-dev/ner-2003/train.txt	0	5.54388701319377	0.5	2	reduce_on_plateau	75	1	9.619037726161153e-06	adam	25	+f1-measure-overall	0.8341133773039127	0.8582955589060067	3221.844	7595.000000000001	59	0.012740989103098446	10	10	5697	10	584.2562176097523	0.42105263157894723	0.006468360355759819	0	0.8339823215606869	0.8515050036992329	s3://suching-dev/ner-2003/dev.txt	0.013662112629121648	617.4320861218023	0.6833333333333322	0.006900033658700774
9	8	0.9915696429266773	0.9926599431486313	0.9591991250945913	35.925231952293245	0.9589571068124474	0.9594412655671491	BIOUL	ner	elmo_characters	3	characters	True	single_id	conll2003	32	True	64	basic	0.25145734425123784	True	0.0714736243669945	80	1278	2	lstm	False	BIOUL	[['scalar_parameters', {'alpha': '0.8606218671492611', 'type': 'l2'}]]	False	0.3598669114914671	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	17	relu	17	[1, 2, 3, 4]	51	cnn	character_encoding	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	embedding	crf_tagger	3223.292	10	10	5689	10	0.9816948422526112	0.9836976418649725	s3://suching-dev/ner-2003/test.txt	0.9208620385090474	77.0984825734739	0.9187522030313712	0.9229815864022662	s3://suching-dev/ner-2003/train.txt	0	5.948927512287439	0.5	2	reduce_on_plateau	75	1	0.0017104583358713743	adam	25	+f1-measure-overall	0.9989146502570952	0.999061982801381	3223.292	4144.0	32	0.9945108718777425	10	10	5689	10	2.9550525446507065	0.9944262434582819	0.9945955147027533	0	0.9912970678711888	0.9924068377399634	s3://suching-dev/ner-2003/dev.txt	0.9586804678952626	41.24875704447428	0.9587611513213263	0.9585997980477954
