Unnamed: 0	best_epoch	best_validation_accuracy	best_validation_accuracy3	best_validation_f1-measure-overall	best_validation_loss	best_validation_precision-overall	best_validation_recall-overall	dataset_reader.coding_scheme	dataset_reader.tag_label	dataset_reader.token_indexers.elmo.type	dataset_reader.token_indexers.token_characters.min_padding_length	dataset_reader.token_indexers.token_characters.type	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.type	embedding	epoch	evaluate_on_test	iterator.batch_size	iterator.type	model.dropout	model.encoder.bidirectional	model.encoder.dropout	model.encoder.hidden_size	model.encoder.input_size	model.encoder.num_layers	model.encoder.type	model.include_start_end_transitions	model.label_encoding	model.regularizer	model.text_field_embedder.token_embedders.elmo.do_layer_norm	model.text_field_embedder.token_embedders.elmo.dropout	model.text_field_embedder.token_embedders.elmo.options_file	model.text_field_embedder.token_embedders.elmo.requires_grad	model.text_field_embedder.token_embedders.elmo.type	model.text_field_embedder.token_embedders.elmo.weight_file	model.text_field_embedder.token_embedders.token_characters.embedding.embedding_dim	model.text_field_embedder.token_embedders.token_characters.encoder.conv_layer_activation	model.text_field_embedder.token_embedders.token_characters.encoder.embedding_dim	model.text_field_embedder.token_embedders.token_characters.encoder.ngram_filter_sizes	model.text_field_embedder.token_embedders.token_characters.encoder.num_filters	model.text_field_embedder.token_embedders.token_characters.encoder.type	model.text_field_embedder.token_embedders.token_characters.type	model.text_field_embedder.token_embedders.tokens.embedding_dim	model.text_field_embedder.token_embedders.tokens.pretrained_file	model.text_field_embedder.token_embedders.tokens.trainable	model.text_field_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	test_accuracy	test_accuracy3	test_data_path	test_f1-measure-overall	test_loss	test_precision-overall	test_recall-overall	train_data_path	trainer.cuda_device	trainer.grad_norm	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_accuracy3	training_cpu_memory_MB	training_duration	training_epochs	training_f1-measure-overall	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_precision-overall	training_recall-overall	training_start_epoch	validation_accuracy	validation_accuracy3	validation_data_path	validation_f1-measure-overall	validation_loss	validation_precision-overall	validation_recall-overall	dataset_reader.sample
28	19	0.9833729216152018	0.9855729917059304	0.9218183351606146	54.814932860580136	0.9239222316145392	0.919723998653652	BIOUL	ner		3	characters	True	single_id	conll2003	glove	43	True	64	basic	0.2744355110850681	True	0.3642400663751846	404	125	2	lstm	False	BIOUL	[['scalar_parameters', {'alpha': '0.007504885584070026', 'type': 'l2'}]]							17	relu	17	[1, 2, 3]	25	cnn	character_encoding	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	embedding	crf_tagger	2674.648	1323	0	0	0					0.9725853343383224	0.9759448691719608	s3://suching-dev/ner-2003/test.txt	0.877846425419191	79.57475090026854	0.8752199929602252	0.8804886685552408	s3://suching-dev/ner-2003/train.txt	0	7.717471690350123	0.5	2	reduce_on_plateau	75	1	0.0003143191072298833	adam	25	+f1-measure-overall	0.9843631059664768	0.9862342292789056	2674.648	3823.0000000000014	43	0.9216004787756524	1323	0	0	0					45.442861400951045	0.9257955082234725	0.9174432954593812	0	0.9831976947938164	0.9854756434718274	s3://suching-dev/ner-2003/dev.txt	0.921221322537062	54.63521736743404	0.9234020967196483	0.9190508246381692	full
0	28	0.9846773879521824	0.9868579883960904	0.9282167802742914	50.90457944309011	0.9282948998485104	0.9281386738471896	BIOUL	ner		3	characters	True	single_id	conll2003	glove	52	True	64	basic	0.3275416874954538	True	0.3848159297339092	341	182	3	lstm	False	BIOUL	[['scalar_parameters', {'alpha': '0.005561752206076956', 'type': 'l2'}]]							59	relu	59	[1, 2, 3]	44	cnn	character_encoding	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	embedding	crf_tagger	2694.664	2301	0	0	0					0.9750834499838484	0.9781414881016476	s3://suching-dev/ner-2003/test.txt	0.8925925925925426	77.32981753349306	0.8891426563598033	0.8960694050991501	s3://suching-dev/ner-2003/train.txt	0	9.322975239642597	0.5	2	reduce_on_plateau	75	1	0.0004256237680237552	adam	25	+f1-measure-overall	0.9877419323154292	0.9892349020975244	2694.664	5054.0	52	0.9367320819112128	2301	0	0	0					35.99079852104187	0.9390958470553014	0.9343801863909104	0	0.9845995093649	0.9867995794556288	s3://suching-dev/ner-2003/dev.txt	0.9281386738471396	50.94980563369453	0.9281386738471896	0.9281386738471896	full
44	0	0.6381371441922044	0.6514349129706787	0.0032838154807946604	2421.206751206342	0.003066588785046729	0.0035341635812857625	BIOUL	ner		3	characters	True	single_id	conll2003	glove	24	True	64	basic	0.2742530267110562	True	0.4451684452621168	283	282	2	lstm	False	BIOUL	[['scalar_parameters', {'alpha': '0.034961208449661836', 'type': 'l2'}]]							55	relu	55	[1, 2, 3, 4]	58	cnn	character_encoding	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	embedding	crf_tagger	2664.1040000000007	2511	0	0	0					0.5772154624744266	0.5946376655540002	s3://suching-dev/ner-2003/test.txt	0.0038936727816808775	2089.3057804814093	0.003373556507071493	0.004603399433427762	s3://suching-dev/ner-2003/train.txt	0	7.142800204631268	0.5	2	reduce_on_plateau	75	1	5.158905495291929e-06	adam	25	+f1-measure-overall	0.8328119398293891	0.8572200313327211	2664.1040000000007	2282.0	24	0.0	2511	0	0	0					726.2391346324574	0.0	0.0	0	0.8325026284023208	0.8500253105408668	s3://suching-dev/ner-2003/dev.txt	0.0	777.1966618556603	0.0	0.0	full
12	16	0.9877925314434796	0.9895837389509754	0.9438693932508126	46.21901953454111	0.943948830163272	0.9437899697071692	BIOUL	ner		3	characters	True	single_id	conll2003	glove	40	True	64	basic	0.2647404851551504	True	0.14143203694544745	204	360	1	lstm	False	BIOUL	[['scalar_parameters', {'alpha': '0.4956610155242118', 'type': 'l2'}]]							26	relu	26	[1, 2, 3, 4, 5]	62	cnn	character_encoding	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	embedding	crf_tagger	2651.284	2069	0	0	0					0.977064714116507	0.9798858619575752	s3://suching-dev/ner-2003/test.txt	0.8969482529853546	83.46893211647317	0.8962347534028637	0.8976628895184136	s3://suching-dev/ner-2003/train.txt	0	6.990530889052232	0.5	2	reduce_on_plateau	75	1	0.0017892387386234574	adam	25	+f1-measure-overall	0.9984922969634764	0.9986838292710476	2651.284	3747.0000000000014	40	0.9918875758543096	2069	0	0	0					4.199280494993383	0.9925850166197904	0.9911911145155112	0	0.9875978349752736	0.9893501031891282	s3://suching-dev/ner-2003/dev.txt	0.9432850891955072	46.63128359177534	0.9432850891955572	0.9432850891955572	full
35	0	0.011818075620108252	0.029340757758654263	0.020806786643141523	2698.0703627642465	0.011607299355366429	0.10030292830696737	BIOUL	ner		3	characters	True	single_id	conll2003	glove	24	True	64	basic	0.12036366401375925	True	0.4224292097363289	229	258	2	lstm	False	BIOUL	[['scalar_parameters', {'alpha': '0.003344766990857123', 'type': 'l2'}]]							17	relu	17	[1, 2, 3, 4]	52	cnn	character_encoding	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	embedding	crf_tagger	2654.984000000001	3373	0	0	0					0.011672229998923226	0.03661031549477765	s3://suching-dev/ner-2003/test.txt	0.019942363112372585	2308.913347032335	0.011184862721434421	0.09189093484419264	s3://suching-dev/ner-2003/train.txt	0	8.208370844001763	0.5	2	reduce_on_plateau	75	1	2.171536674903608e-06	adam	25	+f1-measure-overall	0.8328119398293891	0.8572200313327211	2654.984000000001	2096.0	24	0.0	3373	0	0	0					784.8563265713777	0.0	0.0	0	0.8325026284023208	0.8500253105408668	s3://suching-dev/ner-2003/dev.txt	0.0	849.9600728352866	0.0	0.0	full
15	15	0.9801409602429813	0.9828083018574044	0.9071501186038132	72.7384141286214	0.9133401569430228	0.9010434197239988	BIOUL	ner		3	characters	True	single_id	conll2003	glove	39	True	64	basic	0.007961767912262552	True	0.19143556009305013	473	185	2	lstm	False	BIOUL	[['scalar_parameters', {'alpha': '0.024903416034117543', 'type': 'l2'}]]							16	relu	16	[1, 2, 3, 4, 5]	27	cnn	character_encoding	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	embedding	crf_tagger	2692.184	1531	0	0	0					0.9688166253903304	0.9724345859804028	s3://suching-dev/ner-2003/test.txt	0.8631448324764613	95.54420919771549	0.8642172523961661	0.8620750708215298	s3://suching-dev/ner-2003/train.txt	0	9.341892465978471	0.5	2	reduce_on_plateau	75	1	0.00015536955839754032	adam	25	+f1-measure-overall	0.98690704789781	0.9884245731039528	2692.184	3660.0000000000014	39	0.9329088500490932	1531	0	0	0					44.61739693988453	0.9368321675320774	0.9290182560960041	0	0.9802772477707254	0.9829056500915072	s3://suching-dev/ner-2003/dev.txt	0.9068270370997298	72.97513327879064	0.9128581173260572	0.9008751262201279	full
17	0	0.6662123749075192	0.6834819516373973	0.022582582582536682	2377.9899052638634	0.017556966753828913	0.03163917872770111	BIOUL	ner		3	characters	True	single_id	conll2003	glove	24	True	64	basic	0.14946080728625688	True	0.31713519965583314	394	290	2	lstm	False	BIOUL	[['scalar_parameters', {'alpha': '0.6048875875267002', 'type': 'l2'}]]							20	relu	20	[1, 2, 3, 4]	60	cnn	character_encoding	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	embedding	crf_tagger	2679.672	3219	0	0	0					0.6264455690750511	0.6510606223753634	s3://suching-dev/ner-2003/test.txt	0.019941002949808072	2050.0812219690392	0.014953105645018581	0.02992209631728045	s3://suching-dev/ner-2003/train.txt	0	9.308721022190868	0.5	2	reduce_on_plateau	75	1	3.8264905629372165e-06	adam	25	+f1-measure-overall	0.8325663855889127	0.856974477092245	2679.672	2247.0	24	0.0007611959233716997	3219	0	0	0					687.8442346746273	0.060810810810810766	0.00038299502106472615	0	0.8327752034578093	0.8502978855963553	s3://suching-dev/ner-2003/dev.txt	0.0030155804992452045	739.5942448634728	0.3333333333333321	0.0015146415348367553	full
10	65	0.9081227366535572	0.92105058214244	0.5520121488230336	352.6800172095205	0.6329995646495429	0.4893975092561427	BIOUL	ner		3	characters	True	single_id	conll2003	glove	74	True	64	basic	0.4210369638461831	True	0.2276225008215571	205	280	3	lstm	False	BIOUL	[['scalar_parameters', {'alpha': '0.002937991386502885', 'type': 'l2'}]]							47	relu	47	[1, 2, 3, 4, 5]	46	cnn	character_encoding	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	embedding	crf_tagger	2660.204	2115	0	0	0					0.9062560568536664	0.9206632927748466	s3://suching-dev/ner-2003/test.txt	0.5424887673373212	305.5092472500271	0.6050108932461874	0.4916784702549575	s3://suching-dev/ner-2003/train.txt	0	7.2716129534722285	0.5	2	reduce_on_plateau	75	1	3.70936495172076e-05	adam	25	+f1-measure-overall	0.8923833985689099	0.9100976814768614	2660.204	7141.0	74	0.4629278736126686	2115	0	0	0					376.30068047263404	0.5488388376706733	0.40027235201497935	0	0.9081032670067364	0.9210311124956192	s3://suching-dev/ner-2003/dev.txt	0.5519726858876595	352.4236578847848	0.6323337679269883	0.4897340962638842	full
32	19	0.9825162571550952	0.9848136754799268	0.9189691592732918	63.75778417026296	0.9227897505515018	0.9151800740491416	BIOUL	ner		3	characters	True	single_id	conll2003	glove	43	True	64	basic	0.05263612611902624	True	0.2880133030488607	230	302	1	lstm	False	BIOUL	[['scalar_parameters', {'alpha': '0.0014776634996454697', 'type': 'l2'}]]							44	relu	44	[1, 2, 3, 4]	63	cnn	character_encoding	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	embedding	crf_tagger	2654.196	2037	0	0	0					0.9716377732313988	0.974911166146226	s3://suching-dev/ner-2003/test.txt	0.8758285461775903	84.88677279154459	0.8743603317451915	0.8773016997167139	s3://suching-dev/ner-2003/train.txt	0	5.674297336860395	0.5	2	reduce_on_plateau	75	1	0.00026198843633077706	adam	25	+f1-measure-overall	0.9873539566154768	0.98896970351781	2654.196	4112.0	43	0.9380406227974126	2037	0	0	0					42.93782776052301	0.9416002058142526	0.9345078513979318	0	0.982477317861454	0.9847357968926445	s3://suching-dev/ner-2003/dev.txt	0.9185535653936641	63.362612593407725	0.9222938581608416	0.9148434870414002	full
24	27	0.9853198862972624	0.9873447295666056	0.9313478041392736	49.56165721369725	0.9311911170928668	0.9315045439246044	BIOUL	ner		3	characters	True	single_id	conll2003	glove	51	True	64	basic	0.3112115215415379	True	0.2697892064809787	138	262	2	lstm	False	BIOUL	[['scalar_parameters', {'alpha': '0.005208808929826896', 'type': 'l2'}]]							61	relu	61	[1, 2, 3, 4]	53	cnn	character_encoding	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	embedding	crf_tagger	2652.744	2195	0	0	0					0.974674275869495	0.9779692042640252	s3://suching-dev/ner-2003/test.txt	0.8887908208296059	74.1318272308067	0.8861316437873988	0.8914660056657224	s3://suching-dev/ner-2003/train.txt	0	5.940444576394451	0.5	2	reduce_on_plateau	75	1	0.0005693552013596379	adam	25	+f1-measure-overall	0.98731957902181	0.9888763929064291	2652.708	4905.0	51	0.9364235866572264	2195	0	0	0					36.656266247142455	0.9392499357821732	0.9336141963487808	0	0.985300416650442	0.9873057902729644	s3://suching-dev/ner-2003/dev.txt	0.9311012029948182	49.51886554792815	0.9308662741799832	0.9313362504207338	full
