	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.lazy	dataset_reader.sample	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.word_splitter	dataset_reader.type	epoch	iterator.batch_size	iterator.type	model.dropout	model.encoder	model.encoder.aggregations	model.encoder.architecture.averaged	model.encoder.architecture.bidirectional	model.encoder.architecture.embedding_dim	model.encoder.architecture.hidden_size	model.encoder.architecture.input_size	model.encoder.architecture.ngram_filter_sizes	model.encoder.architecture.num_filters	model.encoder.architecture.num_layers	model.encoder.architecture.output_dim	model.encoder.architecture.type	model.encoder.type	model.input_embedder.token_embedders.tokens.embedding_dim	model.input_embedder.token_embedders.tokens.trainable	model.input_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	train_data_path	trainer.cuda_device	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_dataset_reader.lazy	validation_dataset_reader.sample	validation_dataset_reader.token_indexers.tokens.lowercase_tokens	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.tokenizer.word_splitter	validation_dataset_reader.type	validation_loss
0	0	0.30517711171662126	1.5835532529013499	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.1			True		300.0							boe	seq2vec	300.0	True	embedding	classifier	2485.304	287	699	381	601	553	381	601	553	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0253	adam	5	+accuracy	1.0	2485.304	00:00:04	4	223	699	329	601	553	315	601	553	0.0006128038678850446	0	0.26793823796548594	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	2.8479136739458357
1	5	0.25885558583106266	2.28296844959259	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	9	32	basic	0.1		meanpool		True		295.0	300.0			2.0		lstm	seq2seq	300.0	True	embedding	classifier	2503.188	601	619	809	761	705	707	551	601	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0742	adam	5	+accuracy	0.925	2503.184	00:00:11	9	431	619	809	761	391	707	551	433	0.29016738704272677	0	0.23251589464123523	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	2.716441672188895
2	1	0.3097184377838329	1.5658654417310442	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	5	32	basic	0.2			True		300.0							boe	seq2vec	300.0	True	embedding	classifier	2485.648	743	855	553	551	601	755	593	553	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0099	adam	5	+accuracy	1.0	2485.648	00:00:05	5	743	855	553	551	601	18	593	151	0.05788814489330564	0	0.26975476839237056	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.759902582849775
3	6	0.2652134423251589	1.7716064521244594	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	10	32	basic	0.2		attention		True		394.0	300.0			2.0		lstm	seq2seq	300.0	True	embedding	classifier	2529.96	759	719	601	909	611	793	553	1007	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0432	adam	5	+accuracy	0.25	2529.96	00:00:13	10	759	387	551	909	611	355	553	1007	2.438055549349104	0	0.2524977293369664	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.9366420609610422
4	1	0.2742960944595822	2.8200739451817105	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	5	32	basic	0.3			True		300.0							boe	seq2vec	300.0	True	embedding	classifier	2483.984	317	651	799	601	553	659	771	747	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0832	adam	5	+accuracy	1.0	2483.984	00:00:06	5	269	0	799	601	553	10	0	0	0.0002740025520324707	0	0.1907356948228883	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	7.38201288495745
5	7	0.27338782924613986	2.4719969272613525	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	11	32	basic	0.0		final_state		True		99.0	300.0			1.0		lstm	seq2seq	300.0	True	embedding	classifier	2490.056	759	719	551	909	615	793	553	1007	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.032	adam	5	+accuracy	1.0	2490.056	00:00:11	11	0	513	551	909	615	497	553	0	0.011660896241664886	0	0.26067211625794734	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	3.0109890971864974
6	0	0.2506811989100817	2.5136734451566425	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.3					300.0			[1, 2, 3, 4, 5, 6, 7, 8, 9]	259		505.0	cnn	seq2vec	300.0	True	embedding	classifier	2498.208	369	553	553	343	383	553	601	791	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.02	adam	5	+accuracy	0.53	2498.208	00:00:05	4	329	553	553	305	361	553	0	789	16.946185520717076	0	0.1989100817438692	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	26.98841291155134
7	2	0.3097184377838329	1.7326712029320852	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	6	32	basic	0.0			True		300.0							boe	seq2vec	300.0	True	embedding	classifier	2485.132	601	601	703	593	695	415	641	553	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0182	adam	5	+accuracy	1.0	2485.132	00:00:07	6	601	0	10	593	695	365	641	553	0.0007780322006770543	0	0.28247048138056313	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	2.4136973210743498
8	6	0.25703905540417804	1.7816521338054112	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	10	32	basic	0.0		meanpool		True		433.0	300.0			2.0		lstm	seq2seq	300.0	True	embedding	classifier	2512.0	673	553	551	1011	601	841	553	827	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0234	adam	5	+accuracy	0.515	2512.0	00:00:16	10	301	553	551	1011	319	715	553	827	1.242714864867074	0	0.25522252497729336	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.934744051524571
9	4	0.2688465031789282	2.071348558153425	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	8	32	basic	0.0		attention		True		190.0	300.0			1.0		lstm	seq2seq	300.0	True	embedding	classifier	2488.896	553	553	667	553	553	551	551	553	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0358	adam	5	+accuracy	0.955	2488.88	00:00:11	8	151	553	667	553	553	551	10	553	0.12091053915875298	0	0.25522252497729336	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	3.0511082785470145
10	1	0.26067211625794734	1.8342351879392351	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	5	32	basic	0.3		final_state		True		78.0	300.0			1.0		lstm	seq2seq	300.0	True	embedding	classifier	2492.92	747	553	553	611	601	553	593	791	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0848	adam	5	+accuracy	0.8	2492.912	00:00:06	5	747	553	553	611	601	553	593	199	0.591644653252193	0	0.21525885558583105	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	2.5763630594526017
11	1	0.2688465031789282	5.277565206800189	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	5	32	basic	0.2					300.0			[1, 2, 3, 4, 5, 6, 7, 8]	411		83.0	cnn	seq2vec	300.0	True	embedding	classifier	2496.436	759	719	507	909	611	793	523	1007	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0258	adam	5	+accuracy	0.895	2496.436	00:00:06	5	759	161	433	909	611	145	451	1007	1.5988376481192452	0	0.23978201634877383	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	78.1650329044887
12	0	0.28792007266121705	1.5980493681771415	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.3			True		300.0							boe	seq2vec	300.0	True	embedding	classifier	2483.184	619	593	513	533	553	601	601	601	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0576	adam	5	+accuracy	1.0	2483.18	00:00:03	4	619	593	453	479	553	601	601	601	3.2282301357814246e-05	0	0.24159854677565848	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	4.287578317097255
13	1	0.30517711171662126	1.6524598223822458	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	5	32	basic	0.2												linear				bag_of_word_counts	classifier	2481.072	553	601	729	553	809	713	601	737	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0399	adam	5	+accuracy	0.995	2481.072	00:00:26	5	205	601	729	553	697	623	601	553	0.08342135058982032	0	0.28247048138056313	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.8623327663966587
14	1	0.2742960944595822	2.630830236843654	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	5	32	basic	0.3			True		300.0							boe	seq2vec	300.0	True	embedding	classifier	2484.68	0	553	551	0	551	593	0	631	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0979	adam	5	+accuracy	1.0	2484.68	00:00:11	5	0	553	551	0	551	593	0	631	6.773429257529122e-05	0	0.2706630336058129	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	7.400603076389857
15	3	0.2633969118982743	1.6692131859915598	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	7	32	basic	0.1												linear				bag_of_word_counts	classifier	2480.704	771	553	553	765	601	553	669	791	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.03	adam	5	+accuracy	0.99	2480.7	00:00:38	7	405	553	133	663	601	553	423	551	0.11248935014009476	0	0.2506811989100817	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.7796442985534668
16	6	0.2633969118982743	2.358675125667027	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	10	32	basic	0.3		final_state		True		410.0	300.0			2.0		lstm	seq2seq	300.0	True	embedding	classifier	2511.932	551	553	553	613	551	781	1011	553	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0662	adam	5	+accuracy	0.335	2511.932	00:00:16	10	551	553	549	301	0	697	1011	553	2.92270975453513	0	0.1880108991825613	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	3.2571055821010044
17	4	0.26612170753860126	3.1451264245169503	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	8	32	basic	0.4		attention		True		437.0	300.0			1.0		lstm	seq2seq	300.0	True	embedding	classifier	2499.396	747	553	553	611	601	553	593	791	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0342	adam	5	+accuracy	0.65	2499.376	00:00:10	8	747	553	553	611	0	553	593	417	1.1419140951974052	0	0.22434150772025432	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	2.507747725078038
18	5	0.2652134423251589	1.937002866608756	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	9	32	basic	0.1		attention		True		304.0	300.0			1.0		lstm	seq2seq	300.0	True	embedding	classifier	2493.784	615	901	653	551	641	767	711	601	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0184	adam	5	+accuracy	0.435	2493.784	00:00:12	9	0	901	653	551	641	767	711	18	1.7327851397650582	0	0.15258855585831063	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	2.6362440245492116
19	1	0.2652134423251589	5.060542201995849	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	5	32	basic	0.0					300.0			[1, 2, 3, 4, 5, 6, 7, 8, 9]	153		473.0	cnn	seq2vec	300.0	True	embedding	classifier	2505.828	557	601	703	557	569	593	641	553	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.019	adam	5	+accuracy	0.81	2505.828	00:00:04	5	557	601	703	557	569	0	559	553	0.8742715801511493	0	0.24613987284287012	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	19.12239213671003
20	1	0.26067211625794734	2.1586943081447054	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	5	32	basic	0.2												linear				bag_of_word_counts	classifier	2481.228	693	553	553	733	721	553	779	729	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.086	adam	5	+accuracy	0.995	2481.216	00:00:30	5	487	553	553	483	429	553	769	553	0.04996407404541969	0	0.23887375113533152	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	2.3116937501089914
21	1	0.27520435967302453	2.2796737125941684	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	5	32	basic	0.4			True		300.0							boe	seq2vec	300.0	True	embedding	classifier	2486.332	293	553	553	551	551	255	601	553	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0822	adam	5	+accuracy	1.0	2486.332	00:00:05	5	221	553	553	551	551	207	601	553	0.0002729743719100952	0	0.2089009990917348	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	5.9964778627668105
22	0	0.2742960944595822	1.6429780381066459	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.4												linear				bag_of_word_counts	classifier	2479.468	553	553	729	1011	809	717	553	737	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0615	adam	5	+accuracy	0.965	2479.468	00:00:23	4	553	217	729	553	221	717	211	0	0.14476746640035085	0	0.24159854677565848	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	2.017903893334525
23	4	0.28247048138056313	3.494347756249564	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	8	32	basic	0.1		maxpool		True		402.0	300.0			2.0		lstm	seq2seq	300.0	True	embedding	classifier	2519.416	743	931	553	1097	665	719	601	671	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0033	adam	5	+accuracy	0.915	2519.4	00:00:12	8	743	931	553	1097	665	367	601	671	0.26335708796977997	0	0.25340599455040874	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	2.8523989132472445
24	2	0.2633969118982743	2.7487948622022356	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	6	32	basic	0.2		attention		True		507.0	300.0			2.0		lstm	seq2seq	300.0	True	embedding	classifier	2534.104	745	601	553	601	659	593	1027	745	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0578	adam	5	+accuracy	0.235	2534.104	00:00:11	6	745	18	553	0	659	443	1027	0	2.497381397656032	0	0.1335149863760218	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	2.8148652349199565
25	1	0.2706630336058129	118.88923228127616	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	5	32	basic	0.3					300.0			[1, 2, 3, 4, 5, 6, 7, 8, 9]	176		250.0	cnn	seq2vec	300.0	True	embedding	classifier	2500.84	551	553	553	601	379	709	1011	553	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0778	adam	5	+accuracy	0.635	2500.84	00:00:06	5	551	553	553	557	311	709	1011	553	744.4736507960728	0	0.2615803814713896	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	3450.86435546875
26	1	0.27883742052679383	1.853805262701852	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	5	32	basic	0.2			True		300.0							boe	seq2vec	300.0	True	embedding	classifier	2485.248	743	931	553	1097	665	495	601	671	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0511	adam	5	+accuracy	1.0	2485.248	00:00:03	5	743	931	553	1097	0	477	601	671	1.4019863946097238e-05	0	0.27338782924613986	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	3.7325978074754986
27	5	0.3106267029972752	1.5908221994127547	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	9	32	basic	0.3			True		300.0							boe	seq2vec	300.0	True	embedding	classifier	2485.132	687	539	553	765	601	553	557	553	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0033	adam	5	+accuracy	0.985	2485.132	00:00:07	9	687	489	553	765	601	553	521	209	0.32296133041381836	0	0.2970027247956403	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.622638157435826
28	0	0.2688465031789282	1.589624193736485	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.3		meanpool		True		74.0	300.0			1.0		lstm	seq2seq	300.0	True	embedding	classifier	2488.752	743	699	687	601	553	339	619	553	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0205	adam	5	+accuracy	0.975	2488.752	00:00:05	4	743	0	0	601	553	277	619	553	0.08835854274885994	0	0.24795640326975477	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	4.108262879507882
29	13	0.3097184377838329	1.5835933480943953	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	17	32	basic	0.4												linear				bag_of_word_counts	classifier	2479.324	693	601	553	613	833	781	1011	553	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0054	adam	5	+accuracy	0.965	2479.324	00:01:41	17	525	601	553	351	247	601	713	553	0.4227750769683293	0	0.3042688465031789	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.5925544330051966
30	1	0.27883742052679383	1.9400273731776647	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	5	32	basic	0.1			True		300.0							boe	seq2vec	300.0	True	embedding	classifier	2484.812	551	553	551	553	601	761	721	593	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0422	adam	5	+accuracy	1.0	2484.792	00:00:05	5	551	553	551	553	601	131	721	18	5.148138318743024e-05	0	0.2652134423251589	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	4.2648447922297885
31	3	0.30154405086285196	3.638353511265346	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	7	32	basic	0.2		meanpool		True		132.0	300.0			1.0		lstm	seq2seq	300.0	True	embedding	classifier	2489.948	513	601	733	553	697	623	601	553	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0059	adam	5	+accuracy	1.0	2489.944	00:00:09	7	481	135	10	553	0	623	135	553	0.0033160863178116934	0	0.24432334241598547	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	4.353054809570312
