Unnamed: 0	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.lazy	dataset_reader.sample	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.word_splitter	dataset_reader.type	epoch	iterator.batch_size	iterator.type	model.dropout	model.encoder	model.encoder.aggregations	model.encoder.architecture.averaged	model.encoder.architecture.bidirectional	model.encoder.architecture.embedding_dim	model.encoder.architecture.hidden_size	model.encoder.architecture.input_size	model.encoder.architecture.ngram_filter_sizes	model.encoder.architecture.num_filters	model.encoder.architecture.num_layers	model.encoder.architecture.output_dim	model.encoder.architecture.type	model.encoder.type	model.input_embedder.token_embedders.tokens.embedding_dim	model.input_embedder.token_embedders.tokens.pretrained_file	model.input_embedder.token_embedders.tokens.trainable	model.input_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	train_data_path	trainer.cuda_device	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_dataset_reader.lazy	validation_dataset_reader.sample	validation_dataset_reader.token_indexers.tokens.lowercase_tokens	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.tokenizer.word_splitter	validation_dataset_reader.type	validation_loss
0	16	0.2670299727520436	58093.597424970365	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	20	32	basic	0.0					50.0			[1, 2, 3, 4, 5, 6, 7, 8]	251.0		194.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2548.18	603	561	561	647	601	561	561	561	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.08800000000000001	adam	5	+accuracy	0.2969335205992509	2548.18	00:01:46	20	603	561	561	647	555	561	561	561	5.8928332717231156	0	0.2652134423251589	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	56782.408709226336
1	2	0.3905540417801998	1.4445239203316824	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	6	32	basic	0.0												linear					bag_of_word_counts	classifier	2539.032	1011	561	561	709	561	561	677	713	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0069	adam	5	+accuracy	0.952130149812734	2539.032	00:06:40	6	189	561	561	697	561	561	561	561	0.30384423307488473	0	0.3642143505903724	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.6450066770826066
2	1	0.34877384196185285	1.7609289918627058	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	5	32	basic	0.3		meanpool		True		432.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2556.376	617	561	561	749	601	561	561	561	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0324	adam	5	+accuracy	0.35674157303370785	2556.36	00:00:41	5	617	561	561	749	561	561	561	561	1.894782649890314	0	0.3188010899182561	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.9018719298498967
3	2	0.3823796548592189	1.9947240761348182	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	6	32	basic	0.4			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2543.292	561	571	561	691	561	611	607	561	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0881	adam	5	+accuracy	0.87687265917603	2543.28	00:00:22	6	561	571	561	621	561	611	607	561	0.4748121207852042	0	0.3587647593097185	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	4.524057606288365
4	1	0.3605812897366031	3.478181866237096	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	5	32	basic	0.2												linear					bag_of_word_counts	classifier	2539.784	561	571	561	691	561	611	721	561	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0901	adam	5	+accuracy	0.8441011235955056	2539.784	00:04:44	5	561	561	561	571	561	561	561	561	0.5861928590925668	0	0.34514078110808355	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	4.929325090135847
5	0	0.3778383287920072	1.3444128581455776	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.0			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2543.456	717	561	561	569	561	561	561	685	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.045	adam	5	+accuracy	0.9639513108614232	2543.456	00:00:16	4	717	561	561	569	561	561	561	685	0.1199559990302677	0	0.35149863760217986	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	3.801262433188302
6	0	0.3905540417801998	1.339216995239258	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.2			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2543.844	561	561	569	1029	561	561	571	621	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0345	adam	5	+accuracy	0.9507256554307116	2543.84	00:00:17	4	561	10	569	1029	561	561	571	621	0.15335689764121052	0	0.3569482288828338	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	3.3649311644690383
7	0	0.3433242506811989	1.602832395689828	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.0					50.0			[1, 2, 3, 4, 5, 6, 7]	127.0		90.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2546.98	561	561	587	1029	561	561	595	721	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0256	adam	5	+accuracy	0.31484082397003743	2546.968	00:00:25	4	561	561	587	1029	561	561	595	0	7.661520221260156	0	0.2833787465940055	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	6.008045080729892
8	0	0.2833787465940055	2.3060832977294923	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.3					50.0			[1, 2, 3, 4, 5, 6, 7, 8]	373.0		373.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2549.304	721	561	703	699	561	561	671	561	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.021	adam	5	+accuracy	0.27118445692883897	2549.292	00:00:27	4	721	561	703	699	561	561	671	561	42.703688341133606	0	0.2561307901907357	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	60.23681992122105
9	0	0.35149863760217986	1.6427195923668998	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.1		maxpool		True		218.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2547.712	561	561	561	561	643	687	561	687	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0453	adam	5	+accuracy	0.4850187265917603	2547.708	00:00:34	4	561	561	561	561	643	237	561	687	1.4650951876175984	0	0.32697547683923706	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	2.210984199387686
