	penalty	C	solver	tol	random_state	accuracy	training_duration	dataset_reader.sample	model.encoder.architecture.type	best_validation_accuracy
0	l1	0.33073104653244645	liblinear	0.00022874755199426154	48668	0.3033605812897366	2.568783760070801	8544	logistic regression	0.3033605812897366
1	l1	0.6231911847868551	liblinear	0.0004331053742686314	14537	0.3678474114441417	1.3034420013427734	8544	logistic regression	0.3678474114441417
2	l1	0.7660029489371469	liblinear	0.00021442177751316747	29545	0.3505903723887375	1.2586641311645508	8544	logistic regression	0.3505903723887375
3	l1	0.1550065159316244	liblinear	0.00152093672817239	90680	0.2579473206176203	0.8932192325592041	8544	logistic regression	0.2579473206176203
4	l2	0.3112217979886885	liblinear	0.00011610734577096712	44882	0.368755676657584	0.9573156833648682	8544	logistic regression	0.368755676657584
5	l2	0.6182135293206542	liblinear	0.0023657576872464585	58364	0.3760217983651226	1.838222980499268	8544	logistic regression	0.3760217983651226
6	l1	0.2495990991649911	liblinear	0.004983508556253452	70031	0.3188010899182561	1.028698205947876	8544	logistic regression	0.3188010899182561
7	l2	0.8684089504144961	liblinear	0.007913711514645906	81128	0.3941871026339691	2.2709410190582275	8544	logistic regression	0.3941871026339691
8	l1	0.25434112431198297	liblinear	0.0013571031754953415	75996	0.3878292461398729	1.1461188793182373	8544	logistic regression	0.3878292461398729
9	l1	0.8444765796324346	liblinear	0.0011777840254028366	43255	0.3578564940962761	1.5743002891540527	8544	logistic regression	0.3578564940962761
10	l2	0.08354773989225972	liblinear	0.009313834030712495	55031	0.3569482288828338	1.017621994018555	8544	logistic regression	0.3569482288828338
11	l1	0.8901199429718982	liblinear	0.008212175517728388	3197	0.2606721162579473	0.8817431926727295	8544	logistic regression	0.2606721162579473
12	l2	0.8376545461928243	liblinear	0.00031387642823681134	70706	0.3814713896457766	1.9009618759155276	8544	logistic regression	0.3814713896457766
13	l2	0.1196757431734955	liblinear	0.0003834138700928138	73086	0.3605812897366031	1.1395809650421145	8544	logistic regression	0.3605812897366031
14	l1	0.4328510651804318	liblinear	0.0028817501862201016	32996	0.2561307901907357	0.9225401878356934	8544	logistic regression	0.2561307901907357
15	l1	0.7814304656661887	liblinear	0.0011715700332094485	95963	0.3542234332425068	0.7600691318511963	8544	logistic regression	0.3542234332425068
16	l2	0.2046885558490894	liblinear	0.0005648182536842076	92015	0.368755676657584	0.959141969680786	8544	logistic regression	0.368755676657584
17	l1	0.6163014503419724	liblinear	0.0003792734705286705	11374	0.3424159854677566	1.6532409191131592	8544	logistic regression	0.3424159854677566
18	l2	0.4741048326758908	liblinear	0.00017243565673211696	55024	0.3732970027247957	0.7826571464538574	8544	logistic regression	0.3732970027247957
19	l2	0.2260426992758237	liblinear	0.00010126156215785384	31758	0.3442325158946412	0.6499950885772705	8544	logistic regression	0.3442325158946412
0	l1	0.8548978193127831	liblinear	0.0014772495219462388	32029	0.3169845594913715	0.7388989925384521	8544	logistic regression	0.3033605812897366
1	l1	0.7776515968715779	liblinear	0.0002300214155311544	73481	0.37057220708446864	1.454092025756836	8544	logistic regression	0.3678474114441417
2	l2	0.28406035556573817	liblinear	0.003718292780176925	67583	0.3578564940962761	1.456378936767578	8544	logistic regression	0.3505903723887375
3	l2	0.15655099169214548	liblinear	0.0002015179122894588	69279	0.3651226158038147	0.686464786529541	8544	logistic regression	0.2579473206176203
4	l1	0.14909649940707148	liblinear	0.002955092896520607	84692	0.25340599455040874	1.0057919025421145	8544	logistic regression	0.368755676657584
5	l1	0.1944681703098604	liblinear	0.0001431372626912254	88465	0.29336966394187103	1.869333028793335	8544	logistic regression	0.3760217983651226
6	l2	0.8477515745264352	liblinear	0.00011529444317789463	18433	0.37057220708446864	1.218108892440796	8544	logistic regression	0.3188010899182561
7	l2	0.2540124459433161	liblinear	0.003471765982805457	84773	0.3569482288828338	1.6050977706909182	8544	logistic regression	0.3941871026339691
8	l1	0.938613035171941	liblinear	0.004106370081006401	28868	0.3169845594913715	1.9082810878753664	8544	logistic regression	0.3878292461398729
9	l2	0.3291184078142634	liblinear	0.00010285215814549451	27335	0.3723887375113533	1.1971940994262695	8544	logistic regression	0.3578564940962761
10	l1	0.6755083840603653	liblinear	0.005672322197138394	71501	0.262488646684832	0.8384740352630615	8544	logistic regression	0.3569482288828338
11	l2	0.3453059226554779	liblinear	0.0028253677456965887	27451	0.3178928247048138	1.321155071258545	8544	logistic regression	0.2606721162579473
12	l1	0.7361405251310504	liblinear	0.002675539786737289	14571	0.2606721162579473	0.9404499530792236	8544	logistic regression	0.3814713896457766
